NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;NAC_SEIS;NOTA_PLINEAL;NOTA_IECONOMICA;NOTA_DISENO;NOTA_METODOS;NOTA_EI_TRES;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NOTA_EMPRENDIMIENTO;VECES_EMPRENDIMIENTO;CREDITOS_EMPRENDIMIENTO;NOTA_GRAFOS;VECES_GRAFOS;CREDITOS_GRAFOS;NOTA_CALIDAD_UNO;VECES_CALIDAD_UNO;CREDITOS_CALIDAD_UNO;NOTA_MERCADOTECNIA;VECES_MERCADOTECNIA;CREDITOS_MERCADOTECNIA;NOTA_ERGONOMIA;VECES_ERGONOMIA;CREDITOS_ERGONOMIA;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO
530;35.38461538461539;33.0;0.0;20.3125;0.0;20.0;0;36.22222222222222;0.0;38.0;0.0;44.0;33.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0;0.0
543;37.46666666666667;29.47058823529412;31.0;29.19444444444444;43.0;36.0;0;28.67777777777778;30.0;37.0;0.0;16.0;28.33333333333333;34.70588235294117;8;30.0;32.0;40.0;35.0;42;32.0;3;13;10;3;7;5;2;2;33.0;1;2;30.0;1;2;28.5;2;2;31.0;1;2;41.0;1;2;22.0;2;1;33.5;2;2;0.0;0;2;1;17.0
566;35.66666666666666;33.58823529411764;38.0;32.86111111111111;30.0;28.0;45;34.29411764705883;35.0;36.0;40.5;43.0;34.0;34.07843137254902;8;25.33333333333333;35.0;42.0;31.0;45;37.33333333333334;1;15;13;2;8;7;1;2;40.0;1;2;22.5;2;2;38.0;1;2;42.0;1;2;42.0;1;2;41.0;1;1;42.0;1;2;33.0;1;2;1;27.35714285714286
567;37.33333333333334;37.3235294117647;41.0;39.44444444444444;35.0;42.0;43;40.23529411764706;37.0;48.0;49.0;40.0;48.0;40.5;8;29.5;41.0;44.0;39.0;43;42.13333333333333;0;15;15;0;8;8;0;2;41.0;1;2;43.0;1;2;40.0;1;2;40.0;1;2;43.0;1;2;44.0;1;1;47.0;1;2;40.0;1;2;3;40.5
568;34.73333333333333;35.64705882352941;34.0;27.92592592592593;29.0;30.0;1;32.46666666666667;32.0;32.0;0.0;30.0;33.0;35.06666666666667;7;35.0;32.0;35.0;37.0;0;35.90909090909091;0;11;11;0;6;6;0;2;32.0;1;2;43.0;1;2;33.0;1;2;33.0;1;2;37.0;1;2;39.0;1;1;0.0;0;2;0.0;0;2;2;31.25
569;35.26666666666667;37.3235294117647;37.0;36.05555555555556;32.0;37.0;0;37.0;30.0;42.0;45.0;40.0;42.0;33.47058823529412;8;23.0;30.0;39.0;34.0;43;41.06666666666667;0;15;15;0;8;8;0;2;34.0;1;2;38.0;1;2;44.0;1;2;39.0;1;2;43.0;1;2;42.0;1;1;45.0;1;2;44.0;1;2;2;37.71428571428572
570;38.2;38.29411764705883;46.0;39.0;38.0;39.0;43;40.11764705882353;33.0;42.0;46.0;41.0;44.0;41.41176470588236;8;38.0;44.0;43.0;38.0;42;40.8;0;15;15;0;8;8;0;2;44.0;1;2;46.0;1;2;48.0;1;2;40.0;1;2;44.0;1;2;42.0;1;1;31.0;1;2;32.0;1;2;4;45.42857142857143
571;32.53846153846154;31.66666666666667;0.0;27.96875;33.0;30.0;0;23.26666666666667;1.0;0.0;41.0;41.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0;12.66666666666667;0;3;1;2;2;1;1;1;0.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;38.0;1;1;0.0;0;2;0.0;0;2;0;0.0
572;33.93333333333333;36.8235294117647;42.0;36.61111111111111;35.0;31.0;42;38.47058823529412;30.0;42.0;50.0;46.0;43.0;32.8235294117647;8;34.0;25.5;28.0;32.0;35;38.73333333333333;0;15;15;0;8;8;0;2;31.0;1;2;39.0;1;2;42.0;1;2;40.0;1;2;38.0;1;2;47.0;1;1;35.0;1;2;42.0;1;2;2;39.53571428571428
574;36.4;34.41176470588236;33.0;35.86111111111111;34.0;34.0;44;36.94117647058823;30.0;38.0;40.0;43.0;42.0;39.23529411764706;8;29.0;39.0;43.0;34.0;44;41.13333333333333;0;15;15;0;8;8;0;2;43.0;1;2;47.0;1;2;35.0;1;2;37.0;1;2;44.0;1;2;41.0;1;1;42.0;1;2;40.0;1;2;3;41.71428571428572
578;37.0;39.05882352941177;42.0;39.16666666666666;45.0;34.0;49;39.11764705882353;30.0;44.0;45.0;38.0;37.0;37.35294117647059;8;28.0;38.0;38.0;38.0;42;40.0;0;15;15;0;8;8;0;2;35.0;1;2;42.0;1;2;42.0;1;2;37.0;1;2;44.0;1;2;42.0;1;1;32.0;1;2;47.0;1;2;2;37.21428571428572
