CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
58.5;48.65;56.75;0;47.61;20;60.02;49.97;440.35;40.0;45;35;45;30;15.0;7;45;45;35;0;1;1;0.0;34.44444444444444;2.0
56.59;55.84;40.27;0;44.33;10;52.77;46.0;394.84;33.0;30;30;30;30;15.0;7;45;45;30;0;1;4;0.0;28.666666666666668;1.0
63.76;50.37;57.49;0;39.54;11;55.65;43.56;394.48;32.0;30;35;30;30;15.0;7;35;40;30;0;1;2;0.0;33.888888888888886;2.0
58.22;87.56;50.99;0;42.4;12;49.34;53.59;417.66;39.0;35;40;30;45;15.0;7;45;45;40;0;1;1;0.0;35.77777777777778;2.0
53.16;52.09;44.0;1;47.29;20;53.24;48.33;402.93;33.666666666666664;30;30;35;40;15.0;7;40;45;30;0;1;1;0.0;30.333333333333332;2.0
45.01;81.05;53.84;0;42.25;20;54.87;57.36;410.32;37.666666666666664;40;40;30;35;15.0;7;45;40;35;0;1;2;0.0;43.05555555555556;3.0
47.48;57.13;53.84;0;48.98;10;54.87;53.84;432.8;35.0;35;30;35;45;15.0;7;45;35;30;0;1;1;0.0;36.833333333333336;2.0
63.76;53.32;55.27;0;52.09;7;57.88;55.37;426.81;32.666666666666664;30;35;30;30;15.0;7;40;40;30;0;1;1;0.0;33.611111111111114;2.0
78.81;47.79;53.11;0;42.11;6;51.41;50.23;416.65;38.0;40;35;30;40;15.0;7;40;40;40;0;1;1;0.0;35.0;2.0
65.16;67.6;62.54;0;48.41;6;57.32;54.01;442.4;34.333333333333336;35;35;30;40;15.0;7;40;40;30;0;1;1;0.0;34.55555555555556;2.0
52.06;45.98;46.34;0;47.08;4;46.97;54.29;406.21;35.333333333333336;35;30;30;45;15.0;7;40;40;35;0;1;1;0.0;33.0;2.0
66.96;48.65;56.75;0;61.69;16;53.24;45.02;428.25;32.0;30;30;30;40;15.0;7;35;40;30;0;1;1;0.0;36.0;2.0
58.3;44.34;50.31;0;49.72;6;51.14;59.09;411.26;33.0;30;30;35;35;15.0;7;40;40;30;0;1;2;0.0;34.27777777777778;2.0
74.56;46.92;50.31;0;39.54;20;53.24;51.64;404.86;33.333333333333336;30;35;30;35;15.0;7;40;45;30;0;1;1;0.0;34.77777777777778;2.0
55.7;50.37;41.79;0;47.29;8;44.9;49.97;377.46;33.333333333333336;30;30;35;40;15.0;7;40;40;30;0;1;1;0.0;30.555555555555557;2.0
61.26;45.98;64.97;0;44.72;11;44.91;52.59;414.94;36.333333333333336;35;35;40;40;15.0;7;45;40;30;0;1;1;0.0;31.72222222222222;2.0
60.49;40.88;49.87;0;50.76;20;45.01;52.34;420.69;30.333333333333332;30;30;30;35;11.0;6;35;40;25;1;1;1;4.0;20.0;1.0
63.73;45.98;64.97;0;39.26;11;46.97;56.05;425.93;33.06666666666667;39;31;38;30;15.0;7;30;31;30;0;1;3;0.0;34.27777777777778;2.0
55.71;50.87;62.54;1;55.47;8;64.21;47.22;446.27;36.0;30;40;45;40;15.0;7;40;40;30;0;1;1;0.0;34.44444444444444;2.0
58.86;36.79;51.21;0;43.2;11;68.15;47.16;418.57;33.0;30;35;30;35;15.0;7;40;40;30;0;1;1;0.0;34.55555555555556;2.0
52.15;58.45;55.79;0;36.44;20;56.79;57.36;401.32;31.333333333333332;30;30;30;40;15.0;7;35;30;30;0;1;4;0.0;34.388888888888886;2.0
58.89;47.21;51.96;1;49.38;20;56.57;54.29;432.53;34.333333333333336;30;35;35;40;15.0;7;40;45;30;0;1;1;0.0;33.388888888888886;2.0
60.92;50.37;53.11;1;42.11;19;65.59;39.86;400.09;36.666666666666664;35;35;45;40;15.0;7;40;45;30;0;1;1;0.0;35.0;2.0
