NOTA_SISDIN;NOTA_ELECPOT;PROMEDIO_SIETE;PROMEDIO_TRES;NOTA_COMDIG;NOTA_FDS;NOTA_VARCOM;CON_MAT_ICFES;NOTA_TFM;PROMEDIO_SEIS;NCC_SIETE;NOTA_COMANA;NAA_SIETE;NOTA_ECO;NCA_SIETE;VECES_COMANA;PG_ICFES;VECES_ELECPOT;NOTA_CCON;VECES_COMDIG;VECES_ADMICRO;NOTA_L_TRES;NCP_SIETE;PROMEDIO_CINCO;NAC_SIETE;CAR_SIETE;NOTA_HSE;NAP_SIETE;VECES_ECO;VECES_FDS;VECES_SISDIN;EPA_SIETE;VECES_DDM;VECES_L_TRES;CREDITOS_ELECPOT;VECES_HSE;RENDIMIENTO_OCHO;PROMEDIO_OCHO
40.0;40.0;38.0;32.44444444444444;40.0;33.0;30.0;78.22;44.0;33.5;12.0;38.0;5;35.0;12.0;1;467.75;1;45.0;1;1;0.0;0.0;39.8;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;40.833333333333336
30.0;36.0;32.444444444999995;32.8235294117647;37.0;23.66666667;30.0;75.27;0.0;31.321428572142857;12.0;27.66666667;4;31.5;10.0;3;493.74;1;35.0;1;1;0.0;2.0;32.819444444999995;5;2;0.0;1;2;3;1;2;2;0;3;0;2.0;35.05555555555556
27.5;41.0;36.333333333333336;32.638888888888886;42.0;30.0;30.0;85.28;48.0;26.428571428571427;12.0;30.0;4;36.0;10.0;1;475.58;1;40.0;1;1;0.0;2.0;38.266666666666666;5;1;0.0;1;1;1;2;2;1;0;3;0;2.0;39.80555555555556
30.0;50.0;41.666666666666664;37.0;40.0;45.0;40.0;85.28;46.0;31.785714285714285;12.0;35.0;5;40.0;12.0;1;448.7;1;45.0;1;1;0.0;0.0;38.2;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;42.166666666666664
30.0;0.0;30.0;29.117647058235292;0.0;0.0;24.4;78.22;0.0;24.714285714285715;2.0;24.0;1;0.0;2.0;1;443.18;0;40.0;0;2;0.0;0.0;22.383333334;1;0;0.0;0;0;0;1;2;1;0;3;0;2.0;33.6
45.0;30.0;40.166666666666664;35.833333333333336;44.0;50.0;30.0;67.54;46.0;31.785714285714285;12.0;35.0;5;35.0;12.0;1;486.36;1;45.0;1;1;0.0;0.0;36.53333333333333;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;43.27777777777778
35.0;30.0;32.166666666666664;38.888888888888886;37.0;22.5;30.0;69.99;47.0;33.25;12.0;23.5;4;35.0;10.0;2;441.32;1;40.0;1;2;0.0;2.0;40.03333333333333;5;1;0.0;1;1;2;1;2;1;0;3;0;2.0;35.77777777777778
35.0;35.0;36.25;38.611111111111114;40.0;30.0;45.0;72.55;47.0;31.428571428571427;12.0;35.0;5;40.0;12.0;1;460.18;1;35.0;1;1;0.0;0.0;38.93333333333333;5;0;0.0;0;1;1;1;2;1;0;3;0;2.0;40.0
30.0;40.0;35.75;33.529411764705884;35.0;30.0;45.0;65.16;47.0;34.0;12.0;29.0;5;42.0;12.0;2;462.42;1;40.0;1;1;0.0;0.0;35.333333333333336;5;0;0.0;0;1;1;1;2;2;0;3;0;2.0;37.77777777777778
35.0;38.0;38.25;31.527777778333334;43.0;34.0;35.0;72.55;49.0;35.357142857142854;12.0;37.0;5;39.0;12.0;1;476.68;1;40.0;1;1;0.0;0.0;39.2;5;0;0.0;0;1;1;1;2;1;0;3;0;2.0;39.77777777777778
28.5;29.0;31.666666666666668;27.352941177058824;40.0;29.5;30.0;69.99;30.0;28.785714285714285;12.0;35.0;1;28.5;3.0;1;426.6;2;40.0;1;2;0.0;9.0;31.366666666666667;5;4;0.0;4;2;2;2;1;1;0;3;0;2.0;35.5
24.0;0.0;24.333333333333332;32.76470588235294;0.0;39.0;30.0;72.55;0.0;16.821428571428573;6.0;5.0;1;10.0;2.0;1;458.17;0;35.0;0;2;0.0;4.0;27.5;3;1;0.0;2;1;1;2;1;1;0;3;0;1.0;23.8
30.0;24.75;30.493055555;28.970588235294116;37.0;29.33333333;30.0;70.42;41.0;38.285714285714285;12.0;31.0;3;31.0;7.0;1;487.75;4;40.0;1;2;0.0;5.0;36.56666666666667;5;3;0.0;2;2;3;1;2;1;0;3;0;2.0;31.916666666666668
