NOTA_TG_UNO;NOTA_L_DOS;NOTA_AVAP;NOTA_EI_CINCO;NOTA_ECONOMET;NOTA_AVAM;NOTA_FOTO;NOTA_FGEP;NOTA_EI_SEIS;NOTA_EE_DOS;NOTA_ECUA;NOTA_EI_UNO;NOTA_L_TRES;NOTA_GEOGEO;NOTA_ORD_TER;NCC_NUEVE;NOTA_POO;NCA_NUEVE;NAC_NUEVE;NAA_NUEVE;VECES_EE_DOS;NOTA_FOTOD;VECES_EI_CINCO;VECES_ORD_TER;NOTA_EI_CUATRO;VECES_TG_UNO;EPA_NUEVE;VECES_EI_SEIS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_NUEVE;NCP_NUEVE;NAP_NUEVE;CREDITOS_EI_CINCO;CREDITOS_TG_UNO;CREDITOS_ORD_TER;CREDITOS_EI_SEIS;CREDITOS_EE_DOS;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
48;38;32;40;39;39;36;41;0;46;34;46;48;35;46;10.0;45;10.0;4;4;1;42;1;1;36;1;2;0;37.666666666666664;38.8;39.0;44.6;0.0;0;3;2;3;3;2;3.0;44.72727272727273
37;39;35;37;41;38;32;42;35;45;37;40;43;37;44;13.0;33;13.0;5;5;1;36;1;1;39;1;2;1;41.05555555555556;38.6;42.3125;39.38461538461539;0.0;0;3;2;3;3;2;3.0;41.0
43;41;35;42;41;41;37;44;34;47;35;42;41;37;46;13.0;37;13.0;5;5;1;41;1;1;40;1;2;1;37.388888888888886;39.53333333333333;41.8125;42.0;0.0;0;3;2;3;3;2;3.0;43.09090909090909
49;44;43;34;39;44;36;41;0;37;38;47;41;39;49;10.0;47;10.0;4;4;1;38;1;1;38;1;2;0;40.833333333333336;41.86666666666667;43.6875;42.1;0.0;0;3;2;3;3;2;3.0;41.54545454545455
36;47;32;35;42;38;32;30;39;44;39;32;39;40;45;13.0;50;13.0;5;5;1;37;1;1;33;1;2;1;35.5;40.0;38.5625;39.76923076923077;0.0;0;3;2;3;3;2;3.0;42.54545454545455
0;37;31;32;36;38;34;36;0;36;30;45;30;42;36;8.0;41;8.0;3;3;1;31;1;1;38;0;2;0;31.77777777777778;33.46666666666667;37.6875;34.5;0.0;0;3;2;3;3;2;2.0;33.75
35;33;31;34;37;31;36;33;34;33;30;46;42;38;43;13.0;37;13.0;5;5;1;32;1;1;30;1;2;1;34.22222222222222;35.8;37.625;36.07692307692308;0.0;0;3;2;3;3;2;3.0;43.875
37;41;35;42;42;37;36;40;0;43;37;42;43;39;46;10.0;40;10.0;4;4;1;42;1;1;44;1;2;0;39.833333333333336;37.13333333333333;41.4375;42.4;0.0;0;3;2;3;3;2;3.0;44.63636363636363
50;39;38;39;36;37;32;32;0;0;34;45;33;36;35;8.0;37;8.0;3;3;0;35;1;1;37;1;2;0;34.05555555555556;40.86666666666667;37.0625;40.25;0.0;0;3;2;3;3;2;3.0;44.0
48;45;43;34;36;44;37;36;0;37;41;47;42;41;49;10.0;43;10.0;4;4;1;38;1;1;37;1;2;0;42.166666666666664;42.93333333333333;42.875;41.9;0.0;0;3;2;3;3;2;3.0;41.63636363636363
50;34;32;30;30;34;35;39;38;30;30;42;32;34;40;13.0;31;13.0;5;5;1;37;1;1;46;1;2;1;32.05555555555556;34.53333333333333;34.5;37.23076923076923;0.0;0;3;2;3;3;2;3.0;42.27272727272727
43;41;39;30;43;48;33;44;0;38;33;46;42;39;44;10.0;37;10.0;4;4;1;38;1;1;44;1;2;0;37.0;37.733333333333334;37.8125;38.4;0.0;0;3;2;3;3;2;2.0;39.81818181818182
42;40;35;30;40;41;30;38;0;30;34;47;32;33;39;10.0;33;10.0;4;4;1;34;1;1;34;1;2;0;32.833333333333336;35.2;39.9375;35.1;0.0;0;3;2;3;3;2;2.0;38.72727272727273
50;42;31;41;30;37;33;41;33;35;37;36;45;31;39;13.0;42;13.0;5;5;1;35;1;1;30;1;2;1;32.55555555555556;37.93333333333333;37.0625;39.15384615384615;0.0;0;3;2;3;3;2;3.0;41.18181818181818
50;45;38;47;44;39;42;44;0;36;43;44;44;40;48;10.0;50;10.0;4;4;1;50;1;1;39;1;2;0;40.77777777777778;43.8;42.5625;45.7;0.0;0;3;2;3;3;2;3.0;44.63636363636363
45;37;36;37;37;38;38;36;35;32;33;45;39;33;45;13.0;35;13.0;5;5;1;40;1;1;37;1;2;1;34.888888888888886;39.2;39.375;38.84615384615385;0.0;0;3;2;3;3;2;3.0;40.63636363636363
0;30;34;35;31;38;30;33;30;30;45;39;30;36;39;11.0;34;11.0;4;4;1;36;1;1;30;0;2;1;34.44444444444444;36.0;36.25;33.81818181818182;0.0;0;3;2;3;3;2;2.0;35.4
40;41;38;35;39;46;37;34;38;30;36;36;37;33;41;13.0;33;13.0;5;5;1;34;1;1;39;1;2;1;36.111111111111114;37.0;39.8125;37.07692307692308;0.0;0;3;2;3;3;2;3.0;40.72727272727273
41;37;38;32;38;35;40;33;34;42;36;7;30;41;40;13.0;42;13.0;5;5;1;31;1;1;37;1;2;1;32.166666666666664;34.0;35.25;37.23076923076923;0.0;0;3;2;3;3;2;2.0;35.36363636363637
50;36;34;42;34;37;39;38;33;44;37;46;44;34;40;13.0;37;13.0;5;5;1;44;1;1;31;1;2;1;38.5;36.4;37.8125;41.0;0.0;0;3;2;3;3;2;2.0;39.36363636363637
48;44;35;34;37;40;30;46;40;48;30;38;42;40;46;13.0;47;13.0;5;5;1;31;1;1;37;1;2;1;38.27777777777778;39.733333333333334;42.125;42.46153846153846;0.0;0;3;2;3;3;2;3.0;43.5
50;47;38;30;33;37;30;39;0;48;30;45;44;33;43;10.0;50;10.0;4;4;1;36;1;1;37;1;2;0;35.0;38.93333333333333;37.4375;41.5;0.0;0;3;2;3;3;2;3.0;44.18181818181818
