NOTA_PROB;NOTA_CIENCIAS_COMP_UNO;NOTA_MOD_PROG_DOS;NOTA_ARQ_COMP;NOTA_INV_OP_UNO;NOTA_FISICA_TRES;VECES_INV_OP_UNO;VECES_PROB;NOTA_METODOS_NUM;NOTA_MOD_PROG_UNO;VECES_MOD_PROG_DOS;VECES_FISICA_TRES;NOTA_EE_TRES;VECES_CIENCIAS_COMP_UNO;VECES_ARQ_COMP;VECES_EE_TRES;NCC_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_MAT_DIS;NOTA_A_SISTEMAS;NAC_TRES;NAA_DOS;VECES_A_SISTEMAS;NOTA_GT_DOS;CAR_CUATRO;NAA_CUATRO;NOTA_FUND_BASES;NCC_TRES;NOTA_HOMBRE;NCP_CUATRO;NAA_TRES;VECES_HOMBRE;NAC_CUATRO;EPA_CUATRO;CREDITOS_PROB;CREDITOS_INV_OP_UNO;PROMEDIO_CINCO;CREDITOS_EE_TRES;CREDITOS_MOD_PROG_DOS;CREDITOS_CIENCIAS_COMP_UNO;CREDITOS_FISICA_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;CREDITOS_ARQ_COMP;RENDIMIENTO_CINCO
22.0;36.0;40.0;45.0;31.0;31.0;1;2;15.0;30.0;1;1;42;1;1;1;18.0;9.0;4;28.0;15.33333333;7;7;3;50;5;5;37.0;18.0;35.0;9.0;7;1;9;1;3;3;34.421052631578945;2;3;3;3;33.888888888888886;35.31578947368421;34.416666666666664;2;2.0
30.0;31.5;49.0;38.0;30.0;33.0;1;1;41.0;29.66666667;1;1;42;2;1;1;18.0;13.0;2;30.0;27.5;7;8;2;41;3;7;31.0;18.0;39.0;5.0;6;1;9;2;3;3;35.81578947368421;2;3;3;3;36.833333333333336;37.473684210526315;34.111111111111114;2;2.0
37.0;37.0;45.0;42.0;37.0;26.0;1;1;34.0;41.0;1;2;49;1;1;1;18.0;18.0;0;38.0;31.0;7;7;1;50;0;9;42.0;18.0;42.0;0.0;7;1;9;2;3;3;38.31578947368421;2;3;3;3;38.333333333333336;35.86842105263158;39.611111111111114;2;2.0
43.0;38.0;42.0;41.0;39.0;32.0;1;1;36.0;41.0;1;1;46;1;1;1;18.0;18.0;0;43.0;32.0;7;8;1;50;0;9;45.0;18.0;41.0;0.0;7;1;9;2;3;3;39.78947368421053;2;3;3;3;38.5;36.94736842105263;39.22222222222222;2;2.0
38.0;40.0;47.0;30.0;30.0;30.0;1;1;41.0;49.0;1;1;42;1;2;1;18.0;18.0;0;38.0;34.0;7;7;1;50;0;9;39.0;18.0;42.0;0.0;6;1;9;2;3;3;36.78947368421053;2;3;3;3;35.05555555555556;36.71052631578947;36.69444444444444;2;2.0
0.0;0.0;0.0;8.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;1;0;0.0;0.0;0;0.0;0.0;0;2;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;1;3;3;8.0;2;3;3;3;21.009803921176474;14.6;0.0;2;1.0
49.0;40.0;47.0;38.0;43.0;46.0;1;1;39.0;40.0;1;1;50;1;1;1;18.0;18.0;0;36.0;42.0;7;8;1;50;0;9;36.0;18.0;44.0;0.0;7;1;9;2;3;3;44.78947368421053;2;3;3;3;42.666666666666664;42.526315789473685;43.333333333333336;2;3.0
32.0;0.0;0.0;0.0;0.0;0.0;0;1;39.0;0.0;0;0;0;0;0;0;11.0;3.0;3;10.66666667;0.0;5;5;2;0;3;2;34.0;14.0;0.0;8.0;3;0;5;1;3;3;32.0;2;3;3;3;33.8125;33.375;24.857142857142858;2;2.0
27.0;36.0;49.0;40.0;37.0;31.5;1;2;42.0;31.0;1;2;47;1;1;1;18.0;15.0;1;34.0;33.0;7;8;1;50;1;8;36.0;18.0;44.0;3.0;7;1;9;2;3;3;37.6578947368421;2;3;3;3;31.805555555555557;37.94736842105263;36.166666666666664;2;2.0
39.0;39.0;46.0;30.0;39.0;46.0;1;1;38.0;42.0;1;1;50;1;1;1;18.0;18.0;0;41.0;42.0;7;8;1;50;0;9;40.0;18.0;44.0;0.0;7;1;9;2;3;3;41.421052631578945;2;3;3;3;39.888888888888886;41.31578947368421;39.833333333333336;2;3.0
25.5;30.0;48.0;39.0;30.0;30.0;1;2;31.0;31.0;1;1;44;1;1;1;18.0;15.0;1;30.0;38.0;7;7;1;45;1;8;35.0;18.0;42.0;3.0;6;1;9;2;3;3;34.55263157894737;2;3;3;3;35.25;35.89473684210526;33.666666666666664;2;2.0
0.0;0.0;0.0;33.0;0.0;30.0;0;0;41.0;27.0;0;1;0;0;1;0;11.0;8.0;1;30.0;30.0;7;5;1;0;0;4;0.0;18.0;0.0;3.0;5;0;5;2;3;3;31.2;2;3;3;3;33.94444444444444;31.94117647;32.611111111111114;2;2.0
33.0;30.0;44.0;43.0;30.0;33.0;1;1;42.0;44.0;1;1;48;1;1;1;18.0;12.0;2;22.66666667;31.5;7;6;2;50;3;7;32.0;18.0;50.0;6.0;4;1;9;2;3;3;36.421052631578945;2;3;3;3;34.09259259333333;34.28947368421053;31.52777777888889;2;2.0
33.0;39.0;48.0;41.0;41.0;26.0;1;1;41.0;31.0;1;2;49;1;1;1;18.0;12.0;2;23.0;35.0;7;6;1;50;2;7;40.0;18.0;38.0;6.0;6;1;9;2;3;3;39.0;2;3;3;3;34.0;34.05263157894737;33.305555555;2;2.0
22.0;45.0;41.0;41.0;36.0;31.0;1;2;31.0;48.0;1;1;44;1;1;1;18.0;15.0;1;35.0;40.0;7;8;1;45;1;8;32.0;18.0;41.0;3.0;6;1;9;2;3;3;36.578947368421055;2;3;3;3;37.0;35.21052631578947;34.916666666666664;2;2.0
