PROMEDIO_UNO;NOTA_DIF;CON_MAT_ICFES;EPA_UNO;FISICA_ICFES;PG_ICFES;NOTA_PROGB;NOTA_FIS_UNO;BIOLOGIA_ICFES;IDIOMA_ICFES;LITERATURA_ICFES;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;NOTA_SEM;NCC_UNO;GENERO;LOCALIDAD;VECES_TEXTOS;NAA_UNO;NCA_UNO;VECES_DIF;VECES_SEM;NAC_UNO;CAR_UNO;QUIMICA_ICFES;VECES_CFJC;VECES_FIS_UNO;VECES_PROGB;RENDIMIENTO_DOS;PROMEDIO_DOS
32.5;25.0;69.99;2;58.93;438.15;35.0;35.0;49.87;55.84;64.21;4.0;0.0;35.0;1;45.0;12.0;0;20;0;4;8.0;2;1;5;1;52.34;1;1;1;1.0;26.166666666
35.833333333333336;27.5;62.82;2;61.41;470.68;40.0;40.0;53.95;57.13;57.32;4.0;0.0;40.0;1;40.0;12.0;0;20;0;4;8.0;2;1;5;1;54.01;1;1;1;2.0;32.35294117647059
34.583333333333336;30.0;62.82;2;58.93;446.87;40.0;30.0;55.99;55.84;53.22;0.0;0.0;40.0;0;45.0;12.0;0;11;0;5;12.0;2;1;5;1;52.34;1;1;1;2.0;32.64705882352941
30.3125;25.0;72.55;2;46.84;430.29;26.25;35.0;55.99;48.43;51.21;7.0;0.0;35.0;2;45.0;12.0;0;20;0;3;5.0;2;1;5;2;55.7;1;1;4;2.0;30.91176470588235
30.833333333333332;22.5;67.54;2;56.51;482.39;40.0;30.0;60.25;54.57;59.48;4.0;0.0;40.0;1;30.0;12.0;0;12;0;4;8.0;2;1;5;1;57.44;1;1;1;1.0;26.274509803529412
31.818181818181817;22.5;62.82;2;69.69;471.05;40.0;35.0;60.25;54.57;59.48;4.0;0.0;35.0;1;0.0;11.0;0;20;0;3;7.0;2;0;4;1;55.7;1;1;1;2.0;33.38235294117647
36.81818181818182;35.0;75.27;2;72.97;490.49;40.0;35.0;60.25;65.86;49.19;0.0;0.0;40.0;0;0.0;11.0;0;20;0;4;11.0;1;0;4;0;61.18;1;1;1;2.0;35.0
35.416666666666664;30.0;60.49;2;58.93;410.43;35.0;40.0;53.95;44.74;51.21;0.0;0.0;40.0;0;40.0;12.0;0;19;0;5;12.0;1;1;5;0;48.97;1;1;1;2.0;36.76470588235294
32.9166666675;30.0;62.82;2;72.97;482.43;40.0;26.66666667;58.09;71.53;59.48;3.0;0.0;30.0;1;45.0;12.0;0;20;0;4;9.0;2;1;5;3;57.44;2;3;1;2.0;33.529411764705884
39.166666666666664;45.0;78.22;2;58.93;463.16;40.0;30.0;55.99;47.21;51.21;0.0;0.0;40.0;0;40.0;12.0;0;21;0;5;12.0;1;1;5;1;55.7;1;2;1;2.0;35.588235294117645
32.083333333333336;30.0;72.55;2;72.97;492.98;35.0;30.0;53.95;55.84;70.06;0.0;0.0;35.0;0;35.0;12.0;0;10;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;35.294117647058826
40.416666666666664;40.0;67.77;2;58.68;483.31;50.0;35.0;59.24;53.56;55.21;0.0;0.0;40.0;0;30.0;12.0;0;20;0;5;12.0;1;1;5;0;65.03;1;1;1;2.0;31.764705882352942
33.333333333333336;30.0;69.99;2;66.74;480.69;40.0;25.0;65.0;64.23;59.48;3.0;0.0;40.0;1;45.0;12.0;0;4;0;4;9.0;1;1;5;1;45.4;1;2;1;2.0;32.05882352941177
30.454545454545453;25.0;72.55;2;58.93;470.9;35.0;30.0;58.09;65.86;51.21;4.0;0.0;40.0;1;0.0;11.0;0;10;0;3;7.0;1;0;4;0;55.7;1;1;1;1.0;30.0
28.541666666666668;32.5;69.99;1;61.41;461.56;25.0;27.5;58.09;49.65;61.76;8.0;0.0;27.5;4;27.5;12.0;0;10;0;1;4.0;2;2;5;5;57.44;2;2;2;2.0;36.76470588235294
33.75;30.0;78.22;2;64.0;488.45;40.0;30.0;67.71;44.74;66.94;0.0;0.0;40.0;0;35.0;12.0;1;20;0;5;12.0;2;1;5;1;57.44;1;1;1;2.0;33.529411764705884
22.291666666666668;20.0;72.55;1;56.51;485.27;20.0;20.0;65.0;83.41;57.32;11.0;0.0;27.5;4;40.0;12.0;0;10;0;1;1.0;3;3;5;5;57.44;2;3;2;1.0;20.0
29.583333333333332;25.0;62.82;1;64.0;464.66;32.5;30.0;60.25;64.23;59.48;4.0;0.0;32.5;1;35.0;12.0;0;10;0;4;8.0;2;1;5;3;59.25;2;1;2;1.0;24.264705882352942
37.916666666666664;35.0;78.22;2;66.74;467.75;50.0;30.0;53.95;49.65;57.32;0.0;0.0;35.0;0;40.0;12.0;0;10;0;5;12.0;1;1;5;0;61.18;1;1;1;2.0;36.61764705882353
15.0;15.0;60.49;1;64.0;469.61;15.0;15.0;65.0;73.83;64.21;11.0;0.0;15.0;4;0.0;11.0;0;9;0;0;0.0;1;0;4;0;55.7;1;1;1;1.0;15.0
25.454545454545453;27.5;69.99;1;64.0;450.04;20.0;25.0;60.25;42.2;53.22;10.0;0.0;35.0;3;0.0;11.0;0;10;0;1;1.0;2;0;4;3;55.7;1;2;3;1.0;21.25
34.583333333333336;30.0;75.27;2;61.41;493.74;40.0;35.0;70.81;47.21;64.21;0.0;0.0;30.0;0;40.0;12.0;0;20;0;5;12.0;1;1;5;2;52.34;2;2;1;2.0;32.23529411764706
32.916666666666664;27.5;72.55;2;58.93;482.48;40.0;30.0;62.54;71.53;57.32;4.0;0.0;40.0;1;35.0;12.0;0;16;0;4;8.0;2;1;5;1;52.34;1;1;1;2.0;34.70588235352941
35.416666666666664;40.0;85.28;2;66.74;475.58;35.0;30.0;51.92;55.84;53.22;0.0;0.0;40.0;0;30.0;12.0;0;9;0;5;12.0;1;1;5;0;59.25;1;1;1;2.0;31.176470588235293
26.363636364545457;27.5;81.5;1;49.32;469.34;16.66666667;30.0;55.99;97.34;59.48;7.0;0.0;40.0;2;0.0;11.0;0;12;0;2;4.0;2;0;4;2;48.97;1;1;4;1.0;17.045454545454547
35.208333333333336;40.0;85.28;2;56.51;448.7;35.0;27.5;58.09;59.81;53.22;3.0;0.0;40.0;1;35.0;12.0;0;13;0;4;9.0;1;1;5;1;55.7;1;2;1;2.0;36.1764705882353
35.416666666666664;30.0;78.22;2;58.93;443.18;45.0;30.0;53.95;45.98;64.21;0.0;0.0;40.0;0;40.0;12.0;0;1;0;5;12.0;1;2;5;1;50.66;1;1;1;2.0;31.176470588235293
18.636363636363637;15.0;53.2;1;58.93;463.52;25.0;15.0;65.0;0.0;55.25;11.0;0.0;25.0;4;0.0;11.0;0;20;0;0;0.0;1;0;4;0;52.34;1;1;1;1.0;15.0
43.333333333333336;45.0;67.54;2;56.51;486.36;50.0;35.0;58.09;64.23;64.21;0.0;0.0;45.0;0;40.0;12.0;1;9;0;5;12.0;1;1;5;0;65.59;1;1;1;2.0;34.11764705882353
