GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO
1;1;11;1;19;5;447.0;69.0;69.0;63.0;67.0;63.0;63.0;63.0;0.0;53.0;53.0;11;5;9;2;2012
1;1;14;1;19;5;439.0;86.0;86.0;59.0;55.0;50.0;50.0;55.0;0.0;69.0;47.0;19;5;9;2;2012
0;2;8;1;19;5;449.0;59.0;59.0;70.0;56.0;62.0;62.0;51.0;0.0;69.0;60.0;8;3;9;3;2012
0;2;6;1;19;5;427.0;68.0;68.0;70.0;59.0;62.0;62.0;59.0;0.0;45.0;47.0;6;5;9;2;2012
0;1;14;1;19;5;451.0;69.0;69.0;63.0;59.0;63.0;63.0;59.0;0.0;69.0;60.0;18;3;9;2;2012
0;1;18;1;19;5;444.0;86.0;86.0;55.0;52.0;54.0;54.0;68.0;0.0;60.0;52.0;18;3;9;3;2012
0;2;11;1;19;5;461.0;86.0;86.0;47.0;58.0;58.0;58.0;76.0;0.0;59.0;50.0;10;3;9;3;2012
0;2;21;1;19;5;455.0;75.0;75.0;60.0;53.0;63.0;63.0;63.0;0.0;84.0;63.0;10;3;9;2;2012
0;2;9;1;19;5;452.0;63.0;63.0;65.0;63.0;69.0;69.0;63.0;0.0;69.0;80.0;10;3;9;3;2012
1;2;11;1;19;5;422.0;59.0;59.0;76.0;59.0;69.0;69.0;58.0;0.0;49.0;60.0;10;3;9;4;2012
1;2;11;1;19;5;433.0;75.0;75.0;60.0;63.0;63.0;63.0;63.0;0.0;49.0;55.0;11;5;9;2;2012
1;2;15;1;19;5;438.0;64.0;64.0;69.0;58.0;62.0;62.0;55.0;0.0;69.0;55.0;5;6;9;2;2012
0;2;7;1;19;5;395.0;76.0;76.0;75.0;58.0;50.0;50.0;58.0;0.0;28.0;60.0;20;6;9;2;2012
1;1;4;1;19;5;429.0;69.0;69.0;68.0;67.0;57.0;57.0;63.0;0.0;49.0;49.0;4;4;9;2;2012
0;1;11;1;19;5;426.0;86.0;86.0;55.0;58.0;58.0;58.0;63.0;0.0;44.0;43.0;11;5;9;2;2012
