NOTA_GEOGEO;NOTA_TOP;NCA_CUATRO;NOTA_SUELOS;NOTA_POO;NOTA_PRII;NOTA_FOTO;EPA_CUATRO;LITERATURA_ICFES;NOTA_PROGB;NOTA_PROB;NOTA_ECUA;NOTA_CFJC;NOTA_FIS_UNO;NCC_CUATRO;NOTA_L_UNO;NAA_CUATRO;NAC_CUATRO;NCP_CUATRO;NOTA_CCON;IDIOMA_ICFES;VECES_FIS_TRES;VECES_GEOGEO;VECES_PROB;NOTA_HIST;VECES_GH&F;VECES_L_UNO;VECES_PRII;NOTA_FIS_DOS;VECES_SUELOS;NOTA_GH&F;NOTA_FIS_TRES;NOTA_EYB;NOTA_DIF;NCA_TRES;NAP_CUATRO;VECES_CCON;CAR_CUATRO;CREDITOS_L_UNO;CREDITOS_CCON;CREDITOS_PROB;CREDITOS_PRII;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;PROMEDIO_CUATRO;CREDITOS_GH&F;CREDITOS_GEOGEO;CREDITOS_FIS_TRES;RENDIMIENTO_CINCO;PROMEDIO_CINCO
37;30;17.0;30;43;31;33;2;54.66;40;32;30;35;35;17.0;34;7;7;0.0;40;47.21;1;1;1;40;2;1;1;30;1;30;30;40;30;18.0;0;1;1;2;1;2;3;33.8235294117647;33.666666666666664;32.77777777777778;32.705882352941174;3;3;3;2.0;34.611111111111114
34;30;17.0;33;36;38;35;2;62.72;30;30;33;34;30;17.0;43;7;7;0.0;44;52.42;2;1;1;45;1;1;1;37;3;47;36;37;30;18.0;0;1;1;2;1;2;3;32.05882352941177;36.0;34.94444444444444;38.529411764705884;3;3;3;2.0;35.333333333333336
35;30;17.0;30;39;32;32;2;46.7;33;46;30;40;35;17.0;48;7;7;0.0;41;33.35;1;1;1;40;1;1;1;41;1;36;37;45;30;18.0;0;1;0;2;1;2;3;33.35294117647059;34.333333333333336;34.611111111111114;38.1764705882353;3;3;3;2.0;36.388888888888886
39;30;17.0;32;30;36;36;2;62.78;45;47;30;45;30;17.0;30;7;7;0.0;44;45.2;1;1;2;40;1;2;1;33;2;30;34;35;30;18.0;0;1;2;2;1;2;3;33.23529411764706;35.0;34.0;36.1764705882353;3;3;3;2.0;35.94444444444444
32;35;17.0;35;40;38;40;2;52.77;50;30;40;35;35;17.0;41;7;7;0.0;46;43.48;1;2;1;45;1;1;1;40;1;36;30;40;40;18.0;0;1;1;2;1;2;3;36.470588235294116;41.0;38.05555555555556;35.05882352941177;3;3;3;2.0;38.166666666666664
38;30;17.0;30;40;34;34;2;47.14;40;30;35;40;30;17.0;40;7;7;0.0;40;43.48;1;2;1;40;1;1;1;35;1;45;36;37;35;18.0;0;1;1;2;1;2;3;32.588235294117645;36.666666666666664;35.166666666666664;37.588235294117645;3;3;3;2.0;34.0
40;30;17.0;31;40;41;30;2;49.15;45;38;31;45;30;17.0;39;7;7;0.0;42;40.89;2;1;1;40;1;1;2;30;1;38;30;40;30;18.0;0;1;2;2;1;2;3;33.8235294117647;35.666666666666664;33.166666666666664;37.8235294117647;3;3;3;2.0;33.94444444444444
34;30;17.0;35;40;35;35;2;51.41;50;30;35;40;30;17.0;35;7;7;0.0;35;40.5;1;2;1;45;1;1;1;35;1;40;39;35;30;18.0;0;1;1;2;1;2;3;35.0;37.333333333333336;35.27777777777778;35.8235294117647;3;3;3;2.0;34.5
33;35;17.0;30;38;39;30;2;51.21;30;40;39;35;30;17.0;30;7;7;0.0;30;43.48;1;1;1;45;1;1;1;30;1;35;35;40;30;18.0;0;1;0;2;1;2;3;32.05882352941177;34.0;33.111111111111114;35.05882352941177;3;3;3;2.0;37.166666666666664
36;40;17.0;31;38;37;36;2;58.84;35;46;35;37;40;17.0;42;7;7;0.0;45;0.0;1;1;1;40;1;1;1;35;1;38;35;35;30;18.0;0;1;0;2;1;2;3;35.0;38.666666666666664;34.72222222222222;38.76470588235294;3;3;3;2.0;38.05555555555556
36;40;17.0;40;35;35;45;2;66.94;50;33;30;45;35;17.0;50;7;7;0.0;33;64.23;1;2;1;40;1;1;1;34;1;45;30;40;35;18.0;0;1;1;2;1;2;3;39.11764705882353;36.666666666666664;35.666666666666664;37.470588235294116;3;3;3;2.0;35.166666666666664
