RENDIMIENTO_DOS;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_UNO;PG_ICFES;NCA_UNO;EPA_UNO;NAP_UNO;NCP_UNO;IDIOMA_ICFES;VECES_POO;NAA_UNO;VECES_CIR_UNO;VECES_EYB;VECES_DEM;CAR_UNO;QUIMICA_ICFES;ANO_INGRESO;GENERO;NCC_UNO;VECES_HCI;BIOLOGIA_ICFES;NAC_UNO;APT_VERB_ICFES;PROMEDIO_DOS;FILOSOFIA_ICFES;FISICA_ICFES;CREDITOS_HCI
2.0;35;30;30;50;40;30;40;1;2;35.88235294117647;442.2;17.0;2;0;0.0;33.63;2;7;2;1;1;3;48.83;2009;0;17.0;1;60.01;7;51.08;34.6875;49.38;50.98;1
2.0;45;35;30;40;50;30;50;2;1;38.8235294117647;437.73;17.0;2;0;0.0;45.2;1;7;1;1;1;0;49.97;2009;1;17.0;1;52.41;7;57.65;37.5;50.07;45.75;1
2.0;35;30;30;40;30;35;50;2;1;35.0;440.41;17.0;2;0;0.0;36.71;1;7;2;1;1;0;53.84;2009;0;17.0;1;57.84;7;51.08;34.375;48.98;53.45;1
2.0;45;30;30;40;40;40;40;1;1;36.470588235294116;430.74;17.0;2;0;0.0;51.56;1;7;2;1;1;0;50.87;2009;0;17.0;1;51.89;7;51.38;37.1875;51.78;51.55;1
2.0;45;30;35;35;40;45;50;2;1;37.05882352941177;440.62;17.0;2;0;0.0;59.9;1;7;2;1;1;0;45.02;2009;1;17.0;1;52.41;7;44.9;39.0625;52.09;58.4;1
2.0;35;35;30;40;45;45;50;1;1;41.76470588235294;453.61;17.0;2;0;0.0;54.57;1;7;2;1;1;0;52.59;2009;0;17.0;1;55.8;7;62.71;38.125;46.69;52.53;1
2.0;30;30;30;30;45;35;45;2;2;33.529411764705884;456.22;17.0;2;0;0.0;40.89;1;7;2;1;1;0;54.29;2009;0;17.0;1;64.97;7;62.71;32.8125;51.65;44.84;1
2.0;35;30;30;45;40;35;50;2;1;37.35294117647059;414.93;17.0;2;0;0.0;55.84;1;7;1;1;1;2;47.22;2009;0;17.0;1;51.92;7;59.48;35.625;38.35;51.73;1
2.0;30;26;30;40;37;21;45;4;3;32.64705882352941;365.15;17.0;2;0;0.0;49.65;1;7;6;1;1;2;33.56;2009;0;17.0;1;48.23;7;50.87;30.1875;30.1;47.54;1
1.0;15;0;0;0;0;0;15;0;0;32.05882352941177;420.74;10.0;2;2;7.0;57.84;1;5;0;0;0;2;47.6;2009;0;17.0;1;50.05;7;53.3;15.0;51.78;56.34;1
3.0;40;40;30;40;40;50;45;1;1;37.35294117647059;434.12;17.0;2;0;0.0;65.86;1;7;2;1;1;1;59.25;2009;0;17.0;1;51.94;7;52.97;40.3125;44.72;58.23;1
2.0;30;0;25;45;45;0;50;0;2;32.35294117647059;436.54;10.0;2;2;7.0;69.48;1;5;0;1;1;2;50.5;2009;0;17.0;1;60.01;7;52.97;35.0;48.98;53.45;1
1.0;40;12;40;30;40;20;35;3;3;33.8235294117647;432.62;17.0;2;0;0.0;46.06;2;7;3;1;1;2;53.36;2009;0;17.0;1;54.55;7;53.24;29.4375;50.07;53.57;1
2.0;40;30;35;45;40;30;50;2;1;34.411764705882355;447.2;17.0;2;0;0.0;53.56;1;7;2;1;1;0;47.6;2009;0;17.0;1;55.53;7;61.16;36.5625;53.94;53.97;1
2.0;30;35;35;40;21;30;40;3;2;38.23529411764706;430.54;17.0;2;0;0.0;48.92;1;7;2;1;2;0;55.96;2009;0;17.0;1;64.49;7;62.72;33.1875;44.09;58.7;1
2.0;45;35;30;35;35;40;45;1;1;40.0;437.1;17.0;2;0;0.0;55.64;1;7;2;1;1;0;52.46;2009;0;17.0;1;53.71;7;47.41;37.5;56.09;63.43;1
2.0;40;40;35;40;0;20;50;1;1;37.05882352941177;442.55;16.0;2;1;1.0;48.43;1;6;2;1;0;0;50.94;2009;0;17.0;1;60.0;7;46.97;35.666666666666664;48.98;47.54;1
1.0;0;15;0;25;15;15;15;1;0;32.94117647058823;397.1;14.0;2;1;3.0;43.48;0;6;1;1;1;1;50.94;2009;0;17.0;1;48.23;7;54.66;17.0;44.72;50.09;1
2.0;40;30;30;45;40;35;45;2;1;36.470588235294116;477.04;17.0;2;0;0.0;71.12;1;7;2;1;1;0;51.64;2009;0;17.0;1;67.41;7;68.67;36.25;57.33;48.49;1
2.0;40;45;35;45;45;30;50;1;1;42.64705882352941;423.35;17.0;2;0;0.0;49.6;1;7;1;1;1;0;47.6;2009;0;17.0;1;51.89;7;55.21;39.6875;58.26;61.03;1
2.0;40;30;30;40;35;30;40;1;1;37.64705882352941;421.46;17.0;2;0;0.0;49.6;1;7;3;1;1;0;45.87;2009;0;17.0;1;53.71;7;55.21;34.0625;53.94;46.37;1
2.0;45;35;30;35;50;30;50;2;1;38.529411764705884;433.91;17.0;2;0;0.0;58.45;1;7;1;1;1;0;55.57;2009;0;17.0;1;60.01;7;54.87;36.875;44.72;53.45;1
2.0;40;30;40;45;40;30;40;1;2;38.8235294117647;459.91;17.0;2;0;0.0;54.57;1;7;1;1;1;0;54.29;2009;0;17.0;1;64.97;7;60.56;36.875;48.98;50.09;1
2.0;35;35;30;40;40;30;45;3;1;36.76470588235294;414.27;17.0;2;0;0.0;58.59;1;7;4;1;1;2;50.23;2009;1;17.0;1;39.93;7;65.59;34.6875;42.4;47.62;1
2.0;40;30;35;45;30;35;50;2;1;37.64705882352941;432.11;17.0;2;0;0.0;53.56;1;7;1;1;1;1;47.6;2009;0;17.0;1;59.24;7;61.16;36.875;49.58;49.04;1
2.0;45;35;35;40;41;35;50;1;1;38.529411764705884;452.99;17.0;2;0;0.0;49.6;1;7;1;1;1;0;50.87;2009;0;17.0;1;61.19;7;57.14;38.8125;60.49;53.97;1
2.0;40;29;30;40;45;23;35;4;2;36.76470588235294;431.84;17.0;2;0;0.0;52.09;2;7;4;1;1;2;50.23;2009;0;17.0;1;57.49;7;60.24;32.875;54.45;41.91;1
2.0;35;30;35;45;39;35;50;1;1;34.11764705882353;448.11;17.0;2;0;0.0;45.71;1;7;2;1;1;0;47.6;2009;0;17.0;1;59.24;7;57.14;36.5;62.81;63.43;1
2.0;40;40;30;45;40;30;50;1;1;42.05882352941177;445.15;17.0;2;0;0.0;37.34;1;7;1;1;1;0;54.05;2009;0;17.0;1;53.71;7;59.11;37.5;51.78;58.68;1
