NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;IDIOMA_ICFES;VECES_CATEDRA_DEM;NOTA_EE_UNO;PG_ICFES;NAP_UNO;VECES_DIFERENCIAL;CON_MAT_ICFES;NOTA_CATEDRA_CON;VECES_EE_UNO;NOTA_CATEDRA_FJC;NCP_UNO;LOCALIDAD_COLEGIO;EPA_UNO;VECES_PROG_BASICA;BIOLOGIA_ICFES;LITERATURA_ICFES;VECES_TEXTOS;VECES_CATEDRA_CON;VECES_CATEDRA_FJC;VECES_SEMINARIO;QUIMICA_ICFES;CREDITOS_PROG_BASICA;CREDITOS_LOGICA;CREDITOS_CATEDRA_FJC;PROMEDIO_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
21.66666667;45.0;40.0;6;1;35.0;30.0;45.0;1;7;15.0;11.0;41.6;1;0.0;418.18;1;3;70.5;0.0;0;45.0;4.0;9;2;1;55.49;51.1;1;0;1;1;50.66;3;3;1;33.44444444533333;2.0;34.266666666
27.5;50.0;45.0;6;1;35.0;35.0;50.0;1;8;17.0;11.0;54.9;1;15.0;429.49;2;2;67.01;0.0;1;50.0;6.0;16;2;1;50.78;58.8;1;0;1;1;64.33;3;3;1;35.294117647058826;2.0;34.199999999333336
26.66666667;50.0;40.0;6;1;45.0;35.0;50.0;1;7;15.0;11.0;58.06;1;0.0;462.6;1;3;58.94;0.0;0;45.0;4.0;7;2;1;63.98;48.37;1;0;1;1;62.42;3;3;1;37.77777777866666;2.0;33.25
30.0;45.0;40.0;9;0;40.0;45.0;50.0;1;9;18.0;18.0;67.51;1;40.0;469.92;0;1;64.16;36.0;1;45.0;0.0;3;2;1;58.93;65.94;1;1;1;1;62.0;3;3;1;39.5;2.0;33.184210525789474
30.0;35.0;40.0;8;1;25.0;30.0;45.0;1;9;18.0;16.0;55.64;1;35.0;455.39;1;1;76.47;50.0;1;30.0;2.0;14;2;1;51.89;59.11;2;1;1;1;52.46;3;3;1;33.888888888888886;2.0;35.31578947368421
20.0;35.0;20.25;3;5;25.66666667;23.66666667;40.0;3;9;18.0;4.0;77.14;1;32.0;481.24;6;3;67.13;25.0;1;22.66666667;14.0;11;1;4;61.56;56.64;3;1;3;1;60.27;3;3;1;24.986111112222222;1.0;11.607142857071429
25.33333333;30.0;35.0;4;3;30.0;19.75;30.0;4;8;16.0;7.0;47.17;1;0.0;471.27;4;3;64.24;16.0;0;22.5;9.0;6;1;1;55.09;50.37;1;1;2;1;58.28;3;3;1;26.5052083325;1.0;17.71212121309091
30.0;35.0;45.0;9;0;40.0;35.0;45.0;1;9;18.0;18.0;83.41;1;34.0;454.93;0;1;63.87;40.0;1;35.0;0.0;20;2;1;60.01;56.79;1;1;1;1;66.18;3;3;1;36.833333333333336;2.0;37.473684210526315
22.5;35.0;22.0;4;3;30.0;23.25;30.0;4;8;17.0;5.0;54.9;1;29.0;468.1;4;4;64.16;0.0;1;40.0;12.0;22;1;3;58.93;56.64;1;0;1;1;57.93;3;3;1;26.397058823529413;1.0;23.5
27.5;35.0;45.0;8;1;40.0;40.0;45.0;1;9;18.0;14.0;67.51;1;38.0;428.1;1;2;67.01;44.0;1;45.0;4.0;4;2;1;50.78;46.1;1;1;1;1;57.93;3;3;1;38.333333333333336;2.0;35.86842105263158
17.25;35.0;40.0;6;1;30.0;30.0;45.0;1;7;15.0;11.0;56.01;1;0.0;452.2;1;4;48.67;0.0;0;40.0;4.0;20;2;1;51.63;85.46;1;0;1;1;48.36;3;3;1;30.6;1.0;25.40909090909091
30.0;35.0;45.0;9;0;40.0;40.0;45.0;1;9;18.0;18.0;53.32;1;42.0;424.17;0;1;64.16;34.0;1;40.0;0.0;20;2;1;48.79;54.54;1;1;1;1;54.3;3;3;1;38.5;2.0;36.94736842105263
27.5;40.0;40.0;6;1;40.0;35.0;45.0;1;7;15.0;11.0;43.48;1;0.0;455.52;1;2;62.48;0.0;0;40.0;4.0;6;2;1;53.65;58.49;1;0;1;1;55.55;3;3;1;36.0;2.0;32.28125
27.5;35.0;40.0;8;1;35.0;30.0;45.0;1;9;18.0;14.0;79.55;1;40.0;432.24;1;2;61.49;41.0;1;40.0;4.0;10;2;1;61.16;52.54;1;1;1;1;56.08;3;3;1;35.05555555555556;2.0;36.71052631578947
24.25;35.0;27.5;3;4;25.0;27.5;30.0;2;7;15.0;3.0;42.2;1;0.0;435.11;4;4;58.13;0.0;0;30.0;12.0;20;1;2;51.92;57.32;2;0;1;1;50.66;3;3;1;27.133333333333333;1.0;24.64285714292857
6.6;35.0;30.0;3;4;10.6;9.0;40.0;5;7;15.0;5.0;69.92;1;0.0;437.89;4;5;61.53;0.0;0;14.75;10.0;11;1;1;47.0;54.54;5;0;4;1;52.83;3;3;1;16.956666666666667;1.0;8.0
10.0;35.0;30.0;4;4;16.33333333;10.0;35.0;4;8;17.0;7.0;49.6;1;35.0;486.09;4;2;58.15;0.0;1;24.5;10.0;5;1;1;65.51;61.16;3;0;4;1;67.58;3;3;1;21.009803921176474;1.0;14.6
