CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
66.94;44.34;20;52.56;53.85;446.86;57.87;36.90740740666667;23.33333333;50.0;40.0;8;1;40.0;35.0;50.0;1;9;18.0;14.0;1;39.0;1;3;43.0;1;35.5;2.0
67.13;45.94;7;59.3;70.81;431.06;48.26;34.925925926666665;21.66666667;50.0;40.0;8;1;40.0;30.0;45.0;1;9;18.0;14.0;1;39.0;1;3;39.0;1;33.666666666666664;2.0
67.13;44.71;18;53.07;56.4;434.39;50.37;32.648148148888886;21.66666667;45.0;30.0;8;1;30.0;30.0;45.0;1;9;18.0;14.0;1;45.0;1;3;41.0;1;36.52777777777778;2.0
62.82;64.23;20;53.95;47.22;463.92;61.76;35.27777777777778;27.5;45.0;35.0;8;1;40.0;35.0;40.0;1;9;18.0;14.0;1;33.0;1;2;44.0;1;36.30555555555556;2.0
67.01;48.4;8;52.77;52.57;450.31;63.4;33.72222222222222;22.5;35.0;35.0;8;3;40.0;35.0;40.0;2;9;18.0;14.0;1;42.0;1;2;33.0;1;36.22222222222222;2.0
63.86;48.65;20;54.55;59.09;439.7;62.59;34.083333333333336;25.0;50.0;27.5;7;2;45.0;30.0;50.0;1;9;18.0;11.0;1;35.0;2;2;41.0;1;35.22222222222222;2.0
67.01;74.73;20;56.82;50.85;461.3;50.37;32.22222222222222;27.5;50.0;30.0;7;1;40.0;30.0;45.0;1;9;18.0;12.0;1;15.0;2;2;40.0;1;34.638888888888886;2.0
77.58;74.73;10;61.16;64.33;493.32;50.37;36.333333333333336;30.0;45.0;40.0;9;1;45.0;35.0;30.0;1;9;18.0;18.0;1;31.0;0;1;42.0;1;37.583333333333336;2.0
63.08;53.98;10;59.93;50.5;430.63;59.31;33.6875;30.0;40.0;35.0;8;1;35.0;30.0;35.0;2;8;16.0;16.0;1;0.0;0;1;39.0;0;31.090909091818183;2.0
61.49;47.17;5;56.82;56.08;454.54;54.54;33.14705882352941;20.25;50.0;30.0;7;3;40.0;32.5;40.0;2;8;17.0;13.0;1;45.0;1;4;0.0;1;42.0;3.0
66.83;46.92;20;57.49;51.89;454.2;62.78;36.888888888888886;30.0;45.0;40.0;9;1;35.0;30.0;50.0;1;9;18.0;18.0;1;40.0;0;2;44.0;1;35.77777777777778;2.0
64.16;74.73;7;52.77;57.93;448.54;46.1;27.058823529411764;25.0;25.0;32.5;4;5;30.0;30.0;22.5;2;8;17.0;9.0;2;15.0;4;3;0.0;1;17.95;1.0
