NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
760;37.05882352941177;39.47058823529412;36.0;41.66666666666666;50.0;39.0;14;35.0;42.0;41.0;38.9375;0;16;16;0;8;8;0;2;50.0;1;1;36.0;1;2;30.0;1;2;39.0;1;3;35.0;1;2;44.0;1;2;45.0;1;2;38.0;1;2;3;43.0
763;35.76470588235294;38.91176470588236;31.5;43.53333333333333;42.0;38.21428571428572;14;28.5;40.0;40.0;39.625;0;16;16;0;8;8;0;2;50.0;1;1;41.0;1;2;33.0;1;2;46.0;1;3;31.0;1;2;41.0;1;2;43.0;1;2;34.0;1;2;3;42.44444444444444
765;40.29411764705883;35.5;35.0;37.6;44.0;38.35714285714285;14;30.0;42.0;43.0;32.75;1;16;14;2;8;7;1;2;50.0;1;1;30.0;1;2;30.0;1;2;30.0;1;3;28.0;2;2;33.0;1;2;31.0;1;2;40.0;1;2;2;38.55555555555556
766;36.70588235294117;37.41176470588236;33.0;36.26666666666667;40.0;37.35714285714285;14;37.0;41.0;35.0;39.875;0;16;16;0;8;8;0;2;48.0;1;1;43.0;1;2;30.0;1;2;46.0;1;3;32.0;1;2;38.0;1;2;40.0;1;2;43.0;1;2;2;39.27777777777778
768;41.05882352941177;38.88235294117647;44.0;41.2;41.0;44.0;14;32.0;43.0;44.0;39.5;0;16;16;0;8;8;0;2;40.0;1;1;43.0;1;2;32.0;1;2;40.0;1;3;30.0;1;2;46.0;1;2;43.0;1;2;42.0;1;2;3;44.05555555555556
771;34.5;34.47058823529412;28.5;36.0;42.0;36.71428571428572;14;37.0;45.0;34.0;38.625;1;16;14;2;8;7;1;2;50.0;1;1;42.0;1;2;38.0;1;2;46.0;1;3;26.0;2;2;37.0;1;2;31.0;1;2;41.0;1;2;2;38.83333333333334
772;35.23529411764706;37.76470588235294;35.0;42.13333333333333;42.0;39.57142857142857;14;30.0;42.0;42.0;39.0625;0;16;16;0;8;8;0;2;50.0;1;1;36.0;1;2;45.0;1;2;33.0;1;3;34.0;1;2;47.0;1;2;31.0;1;2;45.0;1;2;3;42.38888888888889
773;41.1764705882353;39.47058823529412;34.0;43.0;46.0;40.71428571428572;14;34.0;41.0;41.0;40.5625;0;16;16;0;8;8;0;2;40.0;1;1;39.0;1;2;48.0;1;2;35.0;1;3;33.0;1;2;41.0;1;2;43.0;1;2;48.0;1;2;3;44.55555555555556
774;35.47058823529412;36.11764705882353;37.0;38.06666666666667;33.0;34.78571428571428;14;27.0;32.0;43.0;34.3125;1;16;14;2;8;7;1;2;40.0;1;1;38.0;1;2;41.0;1;2;30.0;1;3;28.5;2;2;36.0;1;2;30.0;1;2;36.0;1;2;2;37.05555555555556
776;38.29411764705883;38.70588235294117;35.0;40.86666666666667;42.0;38.28571428571428;14;35.0;43.0;41.0;40.0625;0;16;16;0;8;8;0;2;45.0;1;1;43.0;1;2;45.0;1;2;38.0;1;3;31.0;1;2;43.0;1;2;38.0;1;2;41.0;1;2;3;41.72222222222222
777;41.23529411764706;39.64705882352941;41.0;40.4;39.0;40.0;14;30.0;45.0;47.0;40.3125;0;16;16;0;8;8;0;2;45.0;1;1;42.0;1;2;37.0;1;2;36.0;1;3;30.0;1;2;43.0;1;2;47.0;1;2;47.0;1;2;3;41.38888888888889
779;36.76470588235294;39.47058823529412;37.0;41.46666666666667;44.0;39.0;14;31.0;46.0;46.0;39.1875;0;16;16;0;8;8;0;2;40.0;1;1;38.0;1;2;32.0;1;2;35.0;1;3;41.0;1;2;43.0;1;2;45.0;1;2;42.0;1;2;3;41.05555555555556
783;38.47058823529412;36.70588235294117;30.0;39.4;36.0;39.64285714285715;14;35.0;45.0;44.0;38.0625;0;16;16;0;8;8;0;2;47.0;1;1;35.0;1;2;30.0;1;2;36.0;1;3;30.0;1;2;42.0;1;2;46.0;1;2;44.0;1;2;3;40.55555555555556
785;39.64705882352941;36.88235294117647;38.0;42.46666666666667;46.0;37.75;14;32.0;41.0;44.0;34.8125;1;16;14;2;8;7;1;2;50.0;1;1;41.0;1;2;24.5;2;2;30.0;1;3;30.0;1;2;42.0;1;2;32.0;1;2;39.0;1;2;2;36.88888888888889
789;33.58823529411764;35.41176470588236;29.0;34.8;39.0;34.76190476190476;14;24.33333333333333;38.0;39.0;36.0;0;16;16;0;8;8;0;2;45.0;1;1;34.0;1;2;40.0;1;2;33.0;1;3;30.0;1;2;44.0;1;2;30.0;1;2;38.0;1;2;2;38.5
791;40.1764705882353;38.29411764705883;40.0;40.86666666666667;41.0;44.64285714285715;14;37.0;46.0;48.0;40.75;0;16;16;0;8;8;0;2;45.0;1;1;33.0;1;2;30.0;1;2;43.0;1;3;45.0;1;2;42.0;1;2;44.0;1;2;45.0;1;2;2;39.72222222222222
793;41.58823529411764;38.94117647058823;38.0;40.93333333333333;50.0;39.57142857142857;14;36.0;46.0;48.0;39.5;1;16;16;0;8;8;0;2;42.0;1;1;38.0;1;2;30.5;2;2;39.0;1;3;32.0;1;2;50.0;1;2;41.0;1;2;45.0;1;2;3;42.22222222222222
800;40.11764705882353;35.6764705882353;34.0;40.46666666666667;41.0;38.42857142857143;14;31.0;45.0;39.0;39.6875;0;16;16;0;8;8;0;2;40.0;1;1;43.0;1;2;45.0;1;2;35.0;1;3;32.0;1;2;40.0;1;2;44.0;1;2;41.0;1;2;3;42.5
811;42.11764705882353;40.11764705882353;41.0;45.4;49.0;40.21428571428572;14;37.0;48.0;43.0;38.375;1;16;16;0;8;8;0;2;45.0;1;1;39.0;1;2;32.0;1;2;39.0;1;3;30.0;2;2;44.0;1;2;36.0;1;2;45.0;1;2;3;42.5
819;40.58823529411764;44.11764705882353;43.0;44.0;47.0;38.78571428571428;14;37.0;36.0;40.0;40.6875;0;16;16;0;8;8;0;2;50.0;1;1;43.0;1;2;42.0;1;2;31.0;1;3;38.0;1;2;47.0;1;2;42.0;1;2;42.0;1;2;3;44.44444444444444
820;40.29411764705883;37.94117647058823;38.0;39.73333333333333;40.0;39.07142857142857;14;30.0;44.0;39.0;40.3125;0;16;16;0;8;8;0;2;45.0;1;1;40.0;1;2;38.0;1;2;40.0;1;3;46.0;1;2;50.0;1;2;31.0;1;2;35.0;1;2;3;41.16666666666666
826;37.29411764705883;38.05882352941177;33.0;40.46666666666667;41.0;40.71428571428572;14;41.0;42.0;44.0;37.0625;1;16;14;2;8;7;1;2;42.0;1;1;32.0;1;2;31.0;1;2;47.0;1;3;29.0;2;2;40.0;1;2;35.0;1;2;38.0;1;2;3;41.77777777777778
827;42.23529411764706;38.64705882352941;30.0;44.8;45.0;42.5;14;37.0;48.0;43.0;40.5;0;16;16;0;8;8;0;2;43.0;1;1;41.0;1;2;37.0;1;2;41.0;1;3;31.0;1;2;45.0;1;2;38.0;1;2;49.0;1;2;3;41.44444444444444
834;36.23529411764706;38.64705882352941;33.0;38.4;40.0;40.71428571428572;14;35.0;44.0;43.0;38.25;0;16;16;0;8;8;0;2;50.0;1;1;37.0;1;2;30.0;1;2;38.0;1;3;30.0;1;2;39.0;1;2;45.0;1;2;43.0;1;2;3;40.61111111111111
839;37.47058823529412;37.94117647058823;44.0;40.46666666666667;39.0;44.21428571428572;14;43.0;48.0;46.0;39.9375;0;16;16;0;8;8;0;2;45.0;1;1;41.0;1;2;36.0;1;2;42.0;1;3;30.0;1;2;42.0;1;2;42.0;1;2;43.0;1;2;3;42.77777777777778
851;37.64705882352941;38.70588235294117;39.0;41.6;41.0;38.78571428571428;14;39.0;33.0;33.0;34.625;1;16;15;1;8;7;1;2;0.0;1;1;40.0;1;2;30.0;2;2;30.0;1;3;33.0;1;2;47.0;1;2;39.0;1;2;43.0;1;2;2;33.16666666666666
