NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_VARCOM;NOTA_TELEC_UNO;NAC_OCHO;NOTA_TELEMA_UNO;VECES_STG;CON_MAT_ICFES;NCA_OCHO;NCC_OCHO;PROMEDIO_SIETE;PROMEDIO_TRES;CAR_OCHO;NOTA_COMDIG;NOTAS_BDATOS;NCP_OCHO;NAA_OCHO;NOTA_BIOING_UNO;NCC_SIETE;EPA_OCHO;VECES_INSIND;VECES_BDATOS;VECES_TELEC_UNO;VECES_INGECO;VECES_C_UNO;VECES_BIOING_UNO;VECES_TELEMA_UNO;CREDITOS_STG;CREDITOS_BIOING_UNO;CREDITOS_C_UNO;CREDITOS_INGECO;CREDITOS_TELEC_UNO;CREDITOS_BDATOS;CREDITOS_TELEMA_UNO;CREDITOS_INSIND;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
23.0;31.321428572142857;30.0;23.66666667;35.05555555555556;36.0;34.0;30.0;1;35.0;0.0;30.0;40.0;8;35.0;2;75.27;17.0;18.0;32.444444444999995;32.8235294117647;1;37.0;35.0;1.0;7;43.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;2.0;37.285714285714285
21.5;26.428571428571427;35.0;30.0;39.80555555555556;41.0;40.0;27.5;1;44.0;48.0;30.0;40.0;8;39.0;2;85.28;17.0;18.0;36.333333333333336;32.638888888888886;1;42.0;50.0;1.0;7;42.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;2.0;37.82142857142857
48.0;31.785714285714285;36.0;45.0;42.166666666666664;50.0;38.0;30.0;0;43.0;46.0;40.0;41.0;8;43.0;1;85.28;18.0;18.0;41.666666666666664;37.0;0;40.0;50.0;0.0;8;47.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;43.214285714285715
0.0;24.714285714285715;30.0;0.0;33.6;0.0;0.0;30.0;0;0.0;0.0;24.4;0.0;2;0.0;0;78.22;5.0;5.0;30.0;29.117647058235292;0;0.0;39.0;0.0;2;0.0;2.0;2;0;1;0;0;1;0;0;1;2;3;2;3;2;2;3;2.0;39.0
49.0;31.785714285714285;45.0;50.0;43.27777777777778;30.0;41.0;45.0;0;43.0;46.0;30.0;38.0;8;38.0;1;67.54;18.0;18.0;40.166666666666664;35.833333333333336;0;44.0;50.0;0.0;8;48.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;4.0;45.42857142857143
43.0;33.25;28.0;22.5;35.77777777777778;30.0;31.0;35.0;1;37.0;47.0;30.0;36.0;8;38.0;1;69.99;15.0;18.0;32.166666666666664;38.888888888888886;1;37.0;41.0;3.0;7;42.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;42.76470588235294
39.0;31.428571428571427;35.0;30.0;40.0;35.0;33.0;35.0;0;43.0;47.0;45.0;41.0;8;44.0;1;72.55;18.0;18.0;36.25;38.611111111111114;0;40.0;44.0;0.0;8;46.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;45.0
36.0;34.0;45.0;30.0;37.77777777777778;40.0;34.0;30.0;0;43.0;47.0;45.0;31.0;8;38.0;1;65.16;18.0;18.0;35.75;33.529411764705884;0;35.0;40.0;0.0;8;36.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;2.0;38.285714285714285
35.0;35.357142857142854;36.0;34.0;39.77777777777778;38.0;34.0;35.0;0;40.0;49.0;35.0;47.0;8;41.0;1;72.55;18.0;18.0;38.25;31.527777778333334;0;43.0;39.0;0.0;8;45.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;2.0;39.357142857142854
45.0;28.785714285714285;30.0;29.5;35.5;29.0;42.0;28.5;0;32.0;30.0;30.0;30.0;8;32.0;1;69.99;18.0;18.0;31.666666666666668;27.352941177058824;1;40.0;37.0;0.0;8;43.0;12.0;2;1;1;1;1;1;1;2;1;2;3;2;3;2;2;3;2.0;39.705882352941174
