NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;PROMEDIO_SIETE;VECES_CCON;NOTA_EI_DOS;NOTA_ELECPOT;NAC_CINCO;NCC_SIETE;NAA_SIETE;EPA_SIETE;NOTA_AUTO;NOTA_MAQEL;VECES_AIELEC;VECES_ECO;NOTA_ECO;NOTA_ASP;NAP_SIETE;NAC_SIETE;NCA_SIETE;VECES_ASP;CAR_SIETE;NCP_SIETE;VECES_EI_DOS;CREDITOS_EI_DOS;CREDITOS_AIELEC;CREDITOS_SUBEL;CREDITOS_L_DOS;CREDITOS_HIST;CREDITOS_FGEP;CREDITOS_CCON;RENDIMIENTO_OCHO;PROMEDIO_OCHO
34;44;0;33;0;0;0;2;1;1;45;28.666666666666668;0;43;0;5;9.0;2;1;24;0;0;1;0;0;2;4;5.0;0;1;4.0;1;3;2;3;2;2;2;1;2.0;39.0
46;47;45;46;37;35;1;1;1;1;46;36.166666666666664;1;45;30;7;18.0;7;2;40;31;1;1;31;33;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;42.46666666666667
47;41;41;50;35;30;1;1;1;1;50;38.611111111111114;1;43;30;7;18.0;7;2;35;36;1;1;36;42;0;7;18.0;2;1;0.0;1;3;2;3;2;2;2;1;3.0;40.4
12;41;0;31;0;0;0;1;1;1;39;17.22222222222222;0;45;0;6;9.0;1;1;4;0;0;1;0;0;3;4;2.0;0;1;7.0;1;3;2;3;2;2;2;1;2.0;33.666666666666664
33;34;36;43;32;34;2;1;1;1;50;34.55555555555556;1;31;30;7;18.0;7;2;34;32;2;1;32;30;0;7;18.0;1;3;0.0;1;3;2;3;2;2;2;1;2.0;34.333333333333336
0;0;41;31;0;0;0;0;1;0;40;24.933333333333334;1;30;0;7;15.0;2;1;27;27;0;1;27;4;4;6;5.0;1;1;10.0;1;3;2;3;2;2;2;1;2.0;32.166666666666664
33;42;43;40;30;38;3;1;1;1;40;33.111111111111114;1;36;33;7;18.0;7;2;30;30;1;1;30;30;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;37.0
32;46;47;37;32;37;3;1;1;1;42;33.5;1;36;30;7;18.0;7;2;30;30;2;1;30;39;0;7;18.0;2;3;0.0;1;3;2;3;2;2;2;1;2.0;37.333333333333336
47;45;38;44;33;10;2;1;1;1;50;37.05555555555556;1;32;30;7;18.0;7;2;31;35;1;3;35;43;0;7;18.0;3;3;0.0;1;3;2;3;2;2;2;1;2.0;33.46666666666667
34;45;44;48;33;33;1;1;1;1;48;36.05555555555556;1;38;32;7;18.0;7;2;30;35;1;1;35;30;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;38.46666666666667
