PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;LOCALIDAD;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_TRES
493.97;72.55;61.41;54.01;64.23;2.0;37.333333333333336;14;67.71;9;0;15.0;7;35.0;45.0;30.0;40.0;40.0;40.0;40.0;2.0;31.607142857142858;34.44444444444433;2.0
371.82;53.2;38.57;41.37;47.21;1.0;16.11111111111111;0;49.87;11;0;9.0;0;15.0;0.0;15.0;25.0;0.0;15.0;0.0;1.0;15.0;0.0;0.0
449.22;69.99;61.41;50.66;58.45;2.0;32.0888888888888;21;55.99;20;2;15.0;6;23.333333333333;30.0;30.0;35.0;45.0;45.0;34.0;2.0;32.750000000000064;33.2;2.0
410.7;53.2;46.84;48.97;50.87;2.0;36.53333333333333;21;65.0;20;0;15.0;7;35.0;40.0;35.0;35.0;30.0;40.0;44.0;2.0;33.6875;37.4;2.0
490.66;72.55;54.12;57.44;62.69;2.0;35.555555555555465;10;55.99;4;1;15.0;6;23.333333333333;40.0;35.0;40.0;40.0;45.0;45.0;2.0;31.964285714285783;25.0;1.0
468.99;81.5;51.73;59.25;54.57;2.0;36.66666666666666;6;55.99;20;1;15.0;7;30.0;40.0;40.0;40.0;35.0;40.0;40.0;2.0;33.6875;38.53333333333333;2.0
479.55;81.5;49.32;61.18;62.69;2.0;32.8;14;60.25;10;2;15.0;6;20.0;40.0;35.0;35.0;40.0;40.0;36.0;2.0;33.78125;43.46666666666667;3.0
474.47;67.54;66.74;55.7;88.67;2.0;37.46666666666667;3;45.64;11;0;15.0;7;30.0;45.0;35.0;45.0;45.0;40.0;36.0;2.0;39.375;38.46666666666667;2.0
485.65;80.14;56.34;67.58;57.84;2.0;34.0;20;57.36;20;0;15.0;7;35.0;35.0;35.0;35.0;30.0;40.0;30.0;2.0;34.5625;34.166666666666664;2.0
486.26;67.54;72.97;61.18;73.83;1.0;28.88888888888889;2;60.25;12;0;9.0;3;30.0;0.0;25.0;30.0;0.0;35.0;0.0;1.0;20.0;0.0;0.0
480.4;65.16;56.51;59.25;47.21;2.0;33.555555555555465;20;60.25;20;1;15.0;6;23.333333333333;35.0;30.0;40.0;45.0;40.0;40.0;1.0;27.678571428571427;30.0;1.0
509.37;89.86;56.51;57.44;65.86;2.0;30.4;8;65.0;8;3;15.0;5;22.5;32.5;40.0;30.0;22.5;30.0;38.0;2.0;32.78125;36.4;2.0
485.62;69.99;69.69;61.18;52.09;1.0;17.22222222222222;0;70.81;20;0;9.0;0;20.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;0.0;0.0
487.09;67.54;61.41;61.18;76.45;1.0;15.0;13;53.95;13;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;0.0;0.0
477.07;72.55;56.51;54.01;88.67;2.0;33.0;9;62.54;8;1;15.0;6;22.5;35.0;30.0;45.0;40.0;40.0;40.0;2.0;34.375;33.233333333333334;2.0
460.95;60.49;66.74;55.7;58.45;1.0;22.63636363636364;10;55.99;10;3;11.0;2;13.75;27.5;30.0;14.0;0.0;35.0;0.0;1.0;18.633333333333333;35.0;2.0
463.72;89.86;54.12;59.25;50.87;2.0;36.2;14;55.99;9;0;15.0;7;35.0;40.0;30.0;35.0;35.0;40.0;44.0;2.0;30.09375;34.2;2.0
479.66;75.27;54.12;55.7;52.09;2.0;33.333333333333336;8;65.0;8;0;9.0;4;30.0;0.0;35.0;40.0;0.0;35.0;0.0;1.0;30.0;0.0;0.0
466.52;78.22;69.69;59.25;43.48;2.0;34.0;10;58.09;11;0;15.0;7;30.0;40.0;30.0;40.0;30.0;40.0;40.0;2.0;33.5625;35.06666666666667;2.0
445.46;75.27;56.51;48.97;73.83;1.0;26.923076923076923;0;49.87;8;1;13.0;5;15.0;0.0;30.0;40.0;30.0;40.0;30.0;1.0;24.166666666666668;15.0;1.0
456.64;75.27;51.73;54.01;76.45;1.0;21.11111111111111;1;62.54;11;0;9.0;2;15.0;0.0;20.0;40.0;0.0;30.0;0.0;1.0;20.0;0.0;0.0
465.76;67.54;54.12;55.7;88.67;2.0;33.02222222222213;0;60.25;10;1;15.0;6;23.333333333333;40.0;35.0;30.0;30.0;35.0;46.0;2.0;32.53125;35.733333333333334;2.0
433.46;62.82;69.69;47.22;33.63;1.0;25.384615384615383;11;58.09;11;1;13.0;4;15.0;15.0;30.0;40.0;35.0;40.0;0.0;1.0;20.83333333333333;30.0;1.0
451.46;69.99;56.51;59.25;48.43;2.0;37.333333333333336;9;53.95;9;1;15.0;6;27.5;45.0;40.0;40.0;30.0;40.0;50.0;2.0;34.687499999999936;33.93333333333333;2.0
452.98;60.49;66.74;50.66;64.23;2.0;31.33333333333333;10;60.25;10;1;15.0;6;22.5;30.0;30.0;40.0;35.0;40.0;40.0;2.0;33.1875;36.66666666666666;2.0
453.98;58.13;64.0;59.25;50.87;1.0;24.545454545454547;20;60.25;20;1;11.0;3;15.0;0.0;35.0;35.0;15.0;40.0;0.0;1.0;18.33333333333333;0.0;0.0
464.46;65.16;58.93;52.34;50.87;2.0;35.0;18;58.09;18;0;15.0;7;35.0;35.0;35.0;40.0;30.0;40.0;35.0;2.0;31.71875;34.6;2.0
453.44;69.99;56.51;48.97;62.69;1.0;17.272727272727362;9;49.87;9;3;11.0;1;15.0;0.0;16.666666666667;35.0;0.0;15.0;15.0;1.0;15.0;15.0;1.0
413.16;60.49;41.52;43.47;45.98;2.0;31.83333333333333;10;49.87;10;2;15.0;5;22.5;30.0;27.5;45.0;45.0;40.0;35.0;2.0;34.15625;35.333333333333336;2.0
457.61;58.13;66.74;57.44;67.6;2.0;34.0;6;58.09;6;1;15.0;6;25.0;40.0;30.0;40.0;40.0;40.0;40.0;2.0;32.875;34.4;2.0
471.3;58.13;61.41;54.01;53.32;1.0;23.58974358974369;10;51.92;9;1;13.0;3;16.666666666667;15.0;25.0;35.0;30.0;40.0;0.0;1.0;24.166666666666668;20.0;1.0
456.33;85.28;58.93;59.25;57.13;2.0;32.333333333333336;20;53.95;20;2;15.0;5;27.5;27.5;35.0;40.0;30.0;35.0;40.0;1.0;26.875;30.83333333333333;2.0
