PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;NOTA_CALIDAD_DOS;PROMEDIO_NUEVE;NAA_NUEVE;NOTA_GRADO_UNO;NOTA_LOG_DOS;NOTA_FINANZAS;NOTA_HISTORIA;RENDIMIENTO_DIEZ
36;39;39;40;34;8;41;40;30;34;3
39;40;41;38;38;8;46;36;30;43;3
0;0;0;0;0;0;0;0;0;0;2
31;0;0;0;0;0;0;0;0;0;2
44;46;39;40;38;7;50;32;45;44;3
38;39;39;41;36;7;45;36;25;42;3
0;0;0;0;0;0;0;0;0;0;2
19;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
35;39;38;35;42;8;44;41;43;43;3
38;41;39;46;39;8;50;42;34;47;3
0;0;0;0;0;0;0;0;0;0;2
37;40;40;44;35;7;38;26;32;36;3
30;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;41;0;0;0;0;0;0;0;2
38;42;43;48;38;8;35;35;31;41;3
0;0;0;0;0;0;0;0;0;0;2
35;39;36;34;35;8;50;32;30;39;3
19;36;0;0;0;0;0;0;0;0;2
35;35;36;40;34;7;40;37;23;36;3
0;0;0;0;0;0;0;0;0;0;2
36;37;35;42;37;4;0;39;0;0;3
0;17;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
36;38;39;44;35;6;0;27;31;38;3
37;39;30;31;32;6;37;32;21;32;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;36;37;39;36;8;45;37;30;35;3
37;36;38;40;34;8;34;32;30;30;3
0;0;0;0;0;0;0;0;0;0;2
36;35;35;39;37;7;40;39;28;42;3
0;0;0;0;0;0;0;0;0;0;2
0;30;0;0;0;0;0;0;0;0;2
38;37;39;43;36;7;49;28;30;42;3
34;32;17;0;15;1;0;0;10;30;2
35;35;34;41;35;6;45;22;44;44;3
38;38;37;42;35;6;25;29;31;39;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
36;40;39;46;33;8;39;37;32;39;3
0;31;0;0;0;0;0;0;0;0;2
39;39;40;41;38;8;38;38;32;44;3
36;35;0;0;0;0;0;0;0;0;2
39;41;40;45;34;7;45;29;31;39;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
36;36;37;43;35;7;40;36;30;42;3
35;36;38;38;34;5;40;39;25;39;3
30;34;0;0;31;1;0;0;0;0;2
34;0;0;0;0;0;0;0;0;0;2
36;36;34;39;36;8;40;35;30;41;3
0;0;0;0;0;0;0;0;0;0;2
31;36;33;39;32;6;40;34;21;42;3
37;38;37;44;35;8;45;39;30;33;3
36;37;38;40;35;8;38;30;30;40;3
0;0;0;0;0;0;0;0;0;0;2
40;36;41;45;36;7;45;37;26;45;3
34;37;27;36;26;3;0;0;3;34;3
40;42;40;46;39;8;45;43;50;41;3
35;35;31;38;32;3;0;0;27;34;3
33;41;37;46;39;8;45;40;40;46;3
41;40;45;47;40;8;50;44;38;46;3
0;12;0;0;0;0;0;0;0;0;2
32;38;39;43;40;8;45;37;32;43;3
0;0;0;0;0;0;0;0;0;0;2
39;41;41;45;37;8;50;37;38;38;3
35;38;41;46;40;8;50;38;37;36;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;40;37;41;38;8;45;30;33;42;3
0;0;0;0;0;0;0;0;0;0;2
35;42;33;41;32;6;0;33;32;41;3
25;38;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
