PG_ICFES,DEPARTAMENTO
355.0,NO REGISTRA
352.0,NO REGISTRA
374.0,NO REGISTRA
355.0,NO REGISTRA
352.0,NO REGISTRA
385.0,NO REGISTRA
374.0,NO REGISTRA
387.0,NO REGISTRA
356.0,NO REGISTRA
351.0,NO REGISTRA
357.0,NO REGISTRA
342.0,NO REGISTRA
348.0,NO REGISTRA
403.0,NO REGISTRA
359.0,NO REGISTRA
360.0,NO REGISTRA
382.0,NO REGISTRA
372.0,NO REGISTRA
355.0,NO REGISTRA
381.0,NO REGISTRA
378.0,NO REGISTRA
380.0,NO REGISTRA
371.0,NO REGISTRA
383.0,NO REGISTRA
381.0,NO REGISTRA
382.0,NO REGISTRA
366.0,NO REGISTRA
372.0,NO REGISTRA
371.0,NO REGISTRA
316.0,NO REGISTRA
289.0,NO REGISTRA
349.0,NO REGISTRA
311.0,NO REGISTRA
285.0,NO REGISTRA
292.0,NO REGISTRA
289.0,NO REGISTRA
292.0,NO REGISTRA
358.0,NO REGISTRA
351.0,NO REGISTRA
358.0,NO REGISTRA
353.0,NO REGISTRA
356.0,NO REGISTRA
349.0,NO REGISTRA
363.0,NO REGISTRA
344.0,NO REGISTRA
361.0,NO REGISTRA
356.0,NO REGISTRA
356.0,NO REGISTRA
350.0,NO REGISTRA
361.0,NO REGISTRA
361.0,NO REGISTRA
358.0,NO REGISTRA
356.0,NO REGISTRA
358.0,NO REGISTRA
371.0,NO REGISTRA
350.0,NO REGISTRA
352.0,NO REGISTRA
346.0,NO REGISTRA
347.0,NO REGISTRA
354.0,NO REGISTRA
358.0,NO REGISTRA
351.0,NO REGISTRA
357.0,NO REGISTRA
353.0,NO REGISTRA
413.0,NO REGISTRA
382.0,NO REGISTRA
366.0,NO REGISTRA
368.0,NO REGISTRA
369.0,NO REGISTRA
367.0,NO REGISTRA
360.0,NO REGISTRA
351.0,NO REGISTRA
357.0,NO REGISTRA
354.0,NO REGISTRA
362.0,NO REGISTRA
351.0,NO REGISTRA
357.0,NO REGISTRA
354.0,NO REGISTRA
347.0,NO REGISTRA
