PG_ICFES,TIPO_COLEGIO
398.0,OFICIAL
396.0,NO OFICIAL
398.0,NO OFICIAL
398.0,NO REGISTRA
416.0,OFICIAL
398.0,OFICIAL
381.0,OFICIAL
415.0,OFICIAL
392.24,NO REGISTRA
398.0,OFICIAL
399.0,OFICIAL
386.0,OFICIAL
411.0,NO REGISTRA
397.0,OFICIAL
403.0,OFICIAL
389.0,NO REGISTRA
407.0,NO OFICIAL
403.0,OFICIAL
385.0,OFICIAL
406.0,OFICIAL
390.48,OFICIAL
394.0,NO OFICIAL
386.0,NO REGISTRA
386.0,OFICIAL
389.26,OFICIAL
400.0,NO REGISTRA
393.0,OFICIAL
399.0,NO OFICIAL
404.0,OFICIAL
380.0,OFICIAL
393.0,OFICIAL
392.0,OFICIAL
392.0,NO OFICIAL
395.0,OFICIAL
384.0,NO REGISTRA
364.0,OFICIAL
393.0,OFICIAL
397.8,OFICIAL
373.0,OFICIAL
389.69,NO OFICIAL
404.0,NO REGISTRA
394.0,NO OFICIAL
378.0,OFICIAL
404.0,OFICIAL
384.72,NO OFICIAL
395.0,NO OFICIAL
405.0,OFICIAL
373.0,NO OFICIAL
370.0,NO OFICIAL
411.0,OFICIAL
398.94,OFICIAL
383.0,OFICIAL
367.0,NO REGISTRA
402.0,NO REGISTRA
409.0,NO REGISTRA
371.0,NO REGISTRA
372.0,NO REGISTRA
381.0,NO REGISTRA
382.0,NO REGISTRA
376.0,NO REGISTRA
380.0,NO REGISTRA
365.0,NO REGISTRA
347.0,NO REGISTRA
370.0,NO REGISTRA
366.0,NO REGISTRA
376.0,NO REGISTRA
359.0,NO REGISTRA
357.0,NO REGISTRA
361.0,NO REGISTRA
367.0,NO REGISTRA
351.0,NO REGISTRA
354.0,NO REGISTRA
357.0,NO REGISTRA
356.0,NO REGISTRA
353.0,NO REGISTRA
350.0,NO REGISTRA
358.0,NO REGISTRA
358.0,NO REGISTRA
353.0,NO REGISTRA
352.0,NO REGISTRA
353.0,NO REGISTRA
353.0,NO REGISTRA
358.0,NO REGISTRA
355.0,NO REGISTRA
359.0,NO REGISTRA
339.0,NO REGISTRA
361.0,NO REGISTRA
350.0,NO REGISTRA
356.0,NO REGISTRA
350.0,NO REGISTRA
350.0,NO REGISTRA
343.0,NO REGISTRA
341.0,NO REGISTRA
346.0,NO REGISTRA
358.0,NO REGISTRA
363.0,NO REGISTRA
347.0,NO REGISTRA
350.0,NO REGISTRA
364.0,NO REGISTRA
358.0,NO REGISTRA
348.0,NO REGISTRA
329.0,NO REGISTRA
357.0,NO REGISTRA
337.0,NO REGISTRA
350.0,NO REGISTRA
341.0,NO REGISTRA
348.0,NO REGISTRA
365.0,NO REGISTRA
343.0,NO REGISTRA
348.0,NO REGISTRA
339.0,NO REGISTRA
342.0,NO REGISTRA
342.0,NO REGISTRA
340.0,NO REGISTRA
339.0,NO REGISTRA
352.0,NO REGISTRA
343.0,NO REGISTRA
343.0,NO REGISTRA
348.0,NO REGISTRA
336.0,NO REGISTRA
355.0,NO REGISTRA
346.0,NO REGISTRA
342.0,NO REGISTRA
355.0,NO REGISTRA
342.0,NO REGISTRA
337.0,NO REGISTRA
