MUNICIPIO,PG_ICFES
NO REGISTRA,427.0
NO REGISTRA,400.0
BOJACA,431.28
NO REGISTRA,418.0
BOJACA,431.0
NO REGISTRA,421.0
NO REGISTRA,410.0
PALERMO,412.0
NO REGISTRA,399.0
NO REGISTRA,417.0
EL BANCO,412.0
BOJACA,422.0
NO REGISTRA,422.0
NO REGISTRA,395.0
CHIPAQUE,429.0
BOJACA,423.0
NO REGISTRA,427.88
EL BANCO,408.0
NO REGISTRA,407.3
BOJACA,434.0
NATAGAIMA,412.0
BOJACA,415.0
BOJACA,409.0
NO REGISTRA,405.0
BOJACA,402.0
BOJACA,416.0
BOJACA,406.0
NO REGISTRA,411.0
NO REGISTRA,405.0
BOJACA,404.0
NO REGISTRA,402.0
BOJACA,408.53
BOJACA,399.0
NO REGISTRA,405.0
BOJACA,398.0
NO REGISTRA,394.0
VELEZ,404.0
NO REGISTRA,416.0
BOJACA,413.0
BOJACA,395.0
NO REGISTRA,402.0
NO REGISTRA,402.0
FLORENCIA,411.0
BOJACA,414.0
BOJACA,400.62
BOJACA,397.0
SAN GIL,401.0
NO REGISTRA,403.0
BOJACA,391.0
BOJACA,412.0
BOJACA,399.0
BOJACA,390.0
EL BANCO,399.0
SOATA,418.0
FUSAGASUGA,405.0
BOJACA,409.0
BOJACA,391.0
BOJACA,396.0
NO REGISTRA,384.45
BOJACA,402.0
NO REGISTRA,396.0
BOJACA,387.0
BOJACA,406.0
FLORENCIA,396.0
SOATA,402.0
VILLAVICENCIO,401.0
BOJACA,396.0
BOJACA,405.0
BOJACA,402.0
NO REGISTRA,387.0
BOJACA,408.0
NO REGISTRA,386.0
BOJACA,395.0
BOJACA,404.0
NO REGISTRA,383.0
LA PLATA,397.0
BOJACA,410.0
BOJACA,395.0
BOJACA,397.0
BOJACA,396.0
BOJACA,394.0
BOJACA,395.12
BOJACA,389.0
BOJACA,396.0
BOJACA,397.0
BOJACA,395.0
BOJACA,384.53
BOJACA,401.0
TESALIA,396.0
BOJACA,397.0
BOJACA,405.0
NO REGISTRA,386.0
NO REGISTRA,386.0
BOJACA,391.0
SIBUNDOY,390.0
SOATA,400.0
NO REGISTRA,393.0
NO REGISTRA,403.0
BOJACA,375.0
BOJACA,398.0
BOJACA,382.0
NO REGISTRA,389.0
NO REGISTRA,388.0
BOJACA,385.0
BOJACA,391.05
BOJACA,393.0
BOJACA,389.0
BOJACA,383.0
BOJACA,385.0
SOATA,402.0
BOJACA,382.0
NO REGISTRA,383.0
BOJACA,387.0
BOJACA,365.0
BOJACA,378.0
BOJACA,387.0
NO REGISTRA,388.0
NO REGISTRA,382.0
BOJACA,414.0
BOJACA,365.0
CHIPAQUE,418.0
NO REGISTRA,0.0
NO REGISTRA,402.0
NO REGISTRA,392.0
NO REGISTRA,384.0
NO REGISTRA,388.0
NO REGISTRA,360.0
NO REGISTRA,360.0
NO REGISTRA,355.0
NO REGISTRA,368.0
NO REGISTRA,363.0
NO REGISTRA,355.0
NO REGISTRA,358.0
NO REGISTRA,362.0
NO REGISTRA,358.0
NO REGISTRA,350.0
NO REGISTRA,359.0
NO REGISTRA,352.0
NO REGISTRA,348.0
NO REGISTRA,345.0
NO REGISTRA,338.0
NO REGISTRA,352.0
NO REGISTRA,352.0
NO REGISTRA,355.0
NO REGISTRA,350.0
NO REGISTRA,349.0
NO REGISTRA,351.0
NO REGISTRA,348.0
NO REGISTRA,343.0
NO REGISTRA,340.0
NO REGISTRA,341.0
NO REGISTRA,339.0
NO REGISTRA,336.0
NO REGISTRA,339.0
NO REGISTRA,349.0
NO REGISTRA,347.0
NO REGISTRA,337.0
NO REGISTRA,339.0
NO REGISTRA,336.0
NO REGISTRA,337.0
NO REGISTRA,338.0
NO REGISTRA,328.0
NO REGISTRA,341.0
NO REGISTRA,326.0
NO REGISTRA,334.0
NO REGISTRA,332.0
NO REGISTRA,335.0
NO REGISTRA,336.0
NO REGISTRA,342.0
NO REGISTRA,338.0
NO REGISTRA,340.0
NO REGISTRA,330.0
NO REGISTRA,327.0
NO REGISTRA,331.0
NO REGISTRA,321.0
NO REGISTRA,327.0
NO REGISTRA,338.0
NO REGISTRA,331.0
NO REGISTRA,335.0
NO REGISTRA,340.0
NO REGISTRA,333.0
NO REGISTRA,327.0
NO REGISTRA,322.0
NO REGISTRA,338.0
NO REGISTRA,328.0
NO REGISTRA,330.0
NO REGISTRA,335.0
NO REGISTRA,344.0
NO REGISTRA,333.0
NO REGISTRA,323.0
NO REGISTRA,323.0
NO REGISTRA,331.0
NO REGISTRA,337.0
NO REGISTRA,327.0
BOJACA,435.0
FLORENCIA,442.0
BOJACA,416.0
ACACIAS,415.0
BOJACA,431.0
BOJACA,421.0
BOJACA,420.0
BOJACA,415.0
UMBITA,427.0
BOJACA,413.0
BOJACA,415.0
RIOHACHA,414.0
BOJACA,403.0
BOJACA,419.3
BOJACA,405.0
BOJACA,397.42
BOJACA,397.0
TURBACO,393.49
BOJACA,424.0
BOJACA,401.0
BOJACA,406.0
BOJACA,398.0
BOJACA,401.0
NO REGISTRA,406.0
BOJACA,393.0
BOJACA,408.0
BOJACA,385.0
SOATA,404.0
BOJACA,403.0
NO REGISTRA,325.0
