NOTA_INGECO;NOTA_DDP;NOTA_CTRL;NOTA_CONEM;NOTA_TDE;VECES_INGECO;PROMEDIO_CUATRO;VECES_IO_DOS;VECES_DDP;NAC_CINCO;NOTAS_RDC;VECES_CTRL;VECES_RDC;NOTA_IO_DOS;VECES_CONEM;NOTA_EL_DOS;VECES_CEM;VECES_TDE;NCP_CINCO;NCC_CINCO;NOTA_GENH;EPA_CINCO;VECES_INSE;NOTA_ASD;NCA_CINCO;NAA_CINCO;NOTA_INSE;NOTA_IO_UNO;NOTA_IYM;PROMEDIO_CINCO;VECES_IYM;CAR_CINCO;NOTA_CEM;NAP_CINCO;CREDITOS_TDE;CREDITOS_IO_DOS;CREDITOS_INGECO;NOTA_EE_UNO;CREDITOS_CONEM;CREDITOS_RDC;CREDITOS_DDP;CREDITOS_CTRL;RENDIMIENTO_SEIS;PROMEDIO_SEIS
49;47;32;44;32;1;35.470588235294116;1;1;7;43;2;1;30;1;30;2;1;0.0;17.0;33;2;1;31;17.0;7;32;39;42;36.1764705882353;1;1;33;0;3;2;2;40;3;2;3;2;2.0;39.8235294117647
39;50;41;36;35;1;40.88235294117647;1;1;7;38;1;1;41;1;35;1;1;0.0;17.0;50;2;1;43;17.0;7;45;45;45;42.88235294117647;1;0;35;0;3;2;2;41;3;2;3;2;3.0;40.05882352941177
0;27;0;0;0;0;32.6;0;1;2;0;0;0;0;0;0;2;0;3.0;6.0;0;1;0;0;3.0;1;0;0;0;29.0;0;1;16;1;3;2;2;42;3;2;3;2;1.0;27.0
30;43;31;37;37;1;35.8235294117647;1;1;7;43;3;1;31;1;39;3;1;0.0;17.0;34;2;1;35;17.0;7;30;35;44;35.1764705882353;1;1;30;0;3;2;2;36;3;2;3;2;2.0;36.529411764705884
31;44;30;32;33;2;33.88235294117647;1;1;7;37;3;1;35;2;41;3;1;0.0;17.0;30;2;1;38;17.0;7;33;30;40;35.705882352941174;1;1;35;0;3;2;2;40;3;2;3;2;2.0;34.88235294117647
40;41;46;39;46;1;40.529411764705884;1;1;7;38;1;1;41;1;32;1;1;0.0;17.0;40;2;1;39;17.0;7;32;33;33;35.11764705882353;1;0;30;0;3;2;2;40;3;2;3;2;3.0;41.64705882352941
31;37;30;0;0;1;36.35294117647059;1;1;7;0;1;0;11;0;34;5;0;3.0;17.0;32;2;1;43;14.0;6;35;33;40;36.05882352941177;1;2;27;1;3;2;2;42;3;2;3;2;1.0;28.333333333333332
30;40;31;37;33;1;35.64705882352941;1;1;7;33;2;2;43;1;38;4;1;0.0;17.0;32;2;1;34;17.0;7;40;39;47;38.411764705882355;1;1;32;0;3;2;2;42;3;2;3;2;2.0;35.529411764705884
45;50;45;46;39;1;43.23529411764706;1;1;7;44;1;1;46;1;40;1;1;0.0;17.0;50;2;1;46;17.0;7;40;50;45;44.8235294117647;1;0;45;0;3;2;2;40;3;2;3;2;3.0;45.0
30;44;30;36;33;1;38.0;1;1;7;41;1;1;30;1;32;2;1;0.0;17.0;35;2;1;42;17.0;7;35;37;41;36.588235294117645;1;1;30;0;3;2;2;37;3;2;3;2;2.0;35.35294117647059
