PROMEDIO_TRES;PG_ICFES;NOTA_FIS_DOS;NOTA_EL_DOS;NOTA_CAMPOS;NOTA_FCD;FISICA_ICFES;VECES_FCD;BIOLOGIA_ICFES;CON_MAT_ICFES;NOTA_PROGAPL;PROMEDIO_CUATRO;NOTA_VARCOM;NCA_TRES;NOTA_INT;NCP_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_PYE_UNO;NCC_CUATRO;NOTA_FIS_TRES;NAC_CUATRO;NCA_DOS;VECES_PYE_UNO;VECES_PROGAPL;NAA_CUATRO;VECES_FIS_TRES;VECES_EL_DOS;VECES_VARCOM;NOTA_L_UNO;CAR_CUATRO;PROMEDIO_DOS;VECES_L_UNO;EPA_CUATRO;PROMEDIO_UNO;VECES_CAMPOS;CREDITOS_FCD;CREDITOS_VARCOM;CREDITOS_CAMPOS;CREDITOS_L_UNO;CREDITOS_PROGAPL;CREDITOS_PYE_UNO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
34.26470588235294;468.28;35.0;45.0;30.0;50.0;58.17;1;48.51;75.87;40.0;39.666666666666664;30.0;17.0;25.0;0.0;15.0;0;35.0;15.0;30.0;6;14.0;1;1;6;1;1;1;0.0;0;33.529411764705884;0;2;37.916666666666664;1;3;2;2;2;3;2;2.0;37.6
36.388888888888886;482.79;35.0;32.5;25.0;45.0;56.51;1;60.25;81.5;35.0;35.833333333333336;35.0;18.0;30.0;2.0;13.0;1;40.0;15.0;30.0;6;17.0;1;1;5;1;2;1;0.0;2;33.529411764705884;0;2;42.916666666666664;2;3;2;2;2;3;2;1.0;29.583333333333332
30.58823529411765;389.1;35.0;30.0;25.0;30.0;46.84;1;43.37;62.82;30.0;28.666666666666668;25.0;17.0;27.5;4.0;11.0;2;30.0;15.0;30.0;6;11.0;1;1;4;1;1;2;0.0;2;30.147058823529413;0;1;33.333333333333336;2;3;2;2;2;3;2;2.0;36.2
33.611111111111114;455.29;35.0;30.0;30.0;45.0;61.41;1;58.09;69.99;35.0;34.666666666666664;30.0;18.0;32.5;0.0;15.0;0;35.0;15.0;40.0;6;17.0;1;1;6;1;1;1;0.0;0;33.6764705882353;0;2;41.666666666666664;1;3;2;2;2;3;2;2.0;38.5
39.411764705882355;473.44;40.0;30.0;35.0;40.0;61.41;1;60.25;67.54;40.0;38.0;45.0;17.0;35.0;0.0;15.0;0;40.0;15.0;35.0;6;17.0;1;1;6;1;1;1;0.0;0;39.411764705882355;0;2;37.916666666666664;1;3;2;2;2;3;2;2.0;33.733333333333334
17.77777777777778;438.15;30.0;0.0;0.0;0.0;58.93;0;49.87;69.99;27.5;22.5;0.0;1.0;23.33333333;5.0;0.0;2;15.0;5.0;0.0;2;6.0;1;4;0;0;0;0;0.0;1;26.166666666;0;1;32.5;0;3;2;2;2;3;2;0.0;0.0
32.970588235294116;470.68;40.0;28.33333333;27.5;45.0;61.41;1;53.95;62.82;35.0;33.33333333266667;25.0;17.0;27.5;7.0;8.0;3;35.0;15.0;30.0;6;11.0;1;1;3;1;3;2;0.0;3;32.35294117647059;0;1;35.833333333333336;2;3;2;2;2;3;2;2.0;38.0
31.805555555555557;446.87;35.0;0.0;20.0;30.0;58.93;2;55.99;62.82;32.5;29.791666666666668;35.0;15.0;30.0;2.0;10.0;1;30.0;12.0;27.5;5;14.0;2;2;4;2;0;1;0.0;3;32.64705882352941;0;1;34.583333333333336;1;3;2;2;2;3;2;2.0;37.857142857142854
36.470588235294116;430.29;30.0;30.0;30.0;35.0;46.84;1;55.99;72.55;40.0;33.666666666666664;35.0;17.0;35.0;0.0;15.0;0;30.0;15.0;40.0;6;12.0;2;1;6;1;1;2;0.0;2;30.91176470588235;0;2;30.3125;1;3;2;2;2;3;2;2.0;35.0
21.416666667111112;482.39;35.0;0.0;0.0;45.0;56.51;1;60.25;67.54;22.5;30.583333333999995;21.66666667;3.0;22.5;5.0;5.0;2;30.0;10.0;22.5;4;3.0;1;4;2;2;0;3;0.0;2;26.274509803529412;0;2;30.833333333333332;0;3;2;2;2;3;2;1.0;21.8333333335
