NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
1270;37.8235294117647;50;37.76470588235294;43.0;40.0;35.5;39.2;7;46.0;43.0;42.0;32.0;37.64285714285715;1;14;14;0;7;7;0;2;39.0;1;2;30.0;1;3;40.0;1;2;0;0;2;36.0;1;2;48.0;1;1;45.0;1;2;34.5;2;2;2;35.06666666666667
1275;12.91666666666667;0;29.5;35.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;41.0;0;2;2;0;1;1;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;41.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;0;0.0
1276;31.03333333333333;0;34.71428571428572;43.0;24.5;0.0;42.0;1;0.0;0.0;0.0;0.0;36.0;0;2;2;0;1;1;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;36.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;0;0.0
1278;32.66666666666666;0;31.93055555555555;47.0;42.0;0.0;41.0;1;0.0;0.0;0.0;0.0;41.0;0;2;2;0;1;1;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;41.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;0;0.0
1283;36.1764705882353;50;35.94117647058823;35.0;38.0;36.0;41.73333333333333;8;46.0;41.0;39.0;40.0;40.57142857142857;1;14;11;3;7;6;1;2;46.0;1;2;26.33333333333333;3;3;48.0;1;2;0;0;2;44.0;1;2;47.0;1;1;43.0;1;2;40.0;1;2;2;35.26666666666667
1287;32.02941176470588;0;30.98039215686275;34.0;33.23333333333333;30.0;36.72727272727273;6;33.0;38.0;0.0;42.0;34.82142857142857;1;14;14;0;7;7;0;2;35.0;1;2;32.5;2;3;41.0;1;2;0;0;2;32.0;1;2;38.0;1;1;34.0;1;2;34.0;1;2;2;33.93333333333333
1288;38.20588235294117;0;34.11764705882353;45.0;36.8235294117647;39.0;38.86666666666667;8;33.0;43.0;38.0;43.0;31.92857142857143;2;14;9;5;7;5;2;2;22.5;2;2;18.66666666666667;3;3;37.0;1;2;0;0;2;40.0;1;2;30.0;1;1;42.0;1;2;39.0;1;2;2;31.46666666666666
1291;33.70588235294117;31;32.94117647058823;44.0;35.95;46.0;32.58974358974358;5;25.33333333333333;33.0;0.0;26.0;33.20833333333334;2;12;9;3;6;5;1;2;34.0;1;2;20.33333333333333;3;3;38.0;1;2;0;0;2;40.0;1;2;41.5;2;1;36.0;1;2;0.0;0;2;2;33.6
1309;35.61764705882353;49;32.94117647058823;37.0;33.86274509803921;23.33333333333333;36.63636363636363;6;30.5;38.0;38.0;0.0;32.55;1;10;7;3;5;4;1;2;32.0;1;2;27.5;2;3;38.0;1;2;0;0;2;32.0;1;2;39.0;1;1;0.0;0;2;0.0;0;2;1;29.4
1315;38.94117647058823;49;38.88235294117647;47.0;40.47058823529412;49.0;41.06666666666667;7;47.0;43.0;44.0;43.0;40.0;0;14;14;0;7;7;0;2;46.0;1;2;30.0;1;3;42.0;1;2;0;0;2;41.0;1;2;42.0;1;1;43.0;1;2;42.0;1;2;2;36.4375
