NOTA_GEO_FIS;NOTA_L_DOS;NOTA_ECUA;CAR_CINCO;NOTA_CARTO;NOTA_LEGIC;NOTA_GEOGEO;NOTA_POO;NOTA_CFJC;NOTA_INGECO;VECES_L_DOS;NOTA_SUELOS;NOTA_FOTO;NAA_SEIS;NCA_SEIS;NOTA_HSE;NOTA_SIG;NOTA_ME;NOTA_EE_UNO;NOTA_PROGB;CAR_SEIS;VECES_CARTO;NOTA_TOP;LITERATURA_ICFES;VECES_EE_UNO;NOTAS_SISC;NCP_SEIS;VECES_BD;NCC_SEIS;NAP_SEIS;VECES_GEO_FIS;VECES_SIG;NAC_SEIS;EPA_SEIS;VECES_INGECO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_CINCO;PROMEDIO_CUATRO;PROMEDIO_SEIS;VECES_LEGIC;CREDITOS_GEO_FIS;CREDITOS_L_DOS;CREDITOS_EE_UNO;CREDITOS_INGECO;CREDITOS_LEGIC;VECES_HSE;CREDITOS_SIG;RENDIMIENTO_SIETE;PROMEDIO_SIETE
32;34;30;2;41;39;30;43;46;36;1;35;42;7;15.0;36;31;35;46;40;0;1;35;62.59;1.0;32;0.0;1;15.0;0;1;1;7;2;1;37.64705882352941;34.666666666666664;34.666666666666664;35.8235294117647;35.666666666666664;1;3;2;2;2;2;1;3;2.0;38.0
40;43;30;2;43;42;34;50;40;33;1;35;35;7;15.0;47;36;30;50;35;0;1;30;65.43;1.0;42;0.0;1;15.0;0;1;1;7;2;1;33.23529411764706;37.666666666666664;38.0;35.1764705882353;40.733333333333334;1;3;2;2;2;2;1;3;2.0;39.0625
0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.0;0;0;0;50;45;0;0;30;47.41;1.0;0;0.0;0;2.0;0;0;0;1;2;0;33.92857142857143;32.333333333333336;0.0;0.0;50.0;0;3;2;2;2;2;0;3;0.0;0.0
31;40;36;3;36;42;34;33;35;35;1;33;35;7;15.0;45;34;38;46;50;1;2;35;56.79;1.0;38;0.0;1;15.0;0;3;1;7;2;1;37.0;33.666666666666664;37.44444444444444;34.64705882352941;37.733333333333334;1;3;2;2;2;2;1;3;2.0;37.4375
33;36;35;1;38;38;32;32;45;43;1;40;40;7;15.0;42;38;34;41;41;0;1;35;53.3;1.0;30;0.0;1;15.0;0;1;1;7;2;1;35.76470588235294;36.333333333333336;36.55555555555556;36.76470588235294;38.06666666666667;1;3;2;2;2;2;1;3;3.0;42.9375
0;0;33;3;44;36;38;30;40;30;0;37;34;4;8.0;48;30;20;15;35;1;1;30;44.91;1.0;30;2.0;1;10.0;1;0;2;5;2;1;33.8235294117647;30.666666666666668;32.22222222222222;36.86666666666667;30.0;1;3;2;2;2;2;1;3;2.0;33.84615384615385
0;0;0;1;0;0;0;32;35;0;0;36;39;1;1.0;39;0;0;0;30;0;0;30;61.76;0.0;0;0.0;1;1.0;0;0;0;1;2;0;30.294117647058822;34.0;28.4;32.833333333333336;39.0;0;3;2;2;2;2;1;3;0.0;0.0
30;30;34;1;46;42;31;40;45;37;1;35;35;7;15.0;46;41;32;41;50;0;1;35;53.3;1.0;44;0.0;1;15.0;0;1;1;7;2;1;36.470588235294116;33.0;38.111111111111114;36.11764705882353;37.266666666666666;1;3;2;2;2;2;1;3;2.0;38.625
33;41;45;0;40;35;42;30;45;42;1;35;35;7;15.0;40;38;40;50;50;0;1;35;58.76;1.0;43;0.0;1;15.0;0;1;1;7;2;1;37.94117647058823;36.0;39.44444444444444;40.529411764705884;39.266666666666666;1;3;2;2;2;2;1;3;2.0;38.8125
0;0;35;1;37;40;38;30;45;0;0;35;40;4;8.0;44;33;0;45;35;0;1;35;58.52;1.0;36;0.0;2;8.0;0;0;1;4;2;0;33.23529411764706;34.333333333333336;32.75;36.25;39.125;1;3;2;2;2;2;1;3;0.0;0.0
0;0;0;0;0;0;0;24;33;0;0;32;40;0;0.0;0;0;0;0;50;0;0;30;47.18;;0;0.0;0;0.0;0;0;0;0;1;0;31.142857142857142;33.0;0.0;0.0;0.0;0;3;2;2;2;2;0;3;0.0;0.0
31;36;35;1;44;40;30;37;41;43;1;30;36;7;15.0;41;36;32;35;40;0;1;30;53.5;1.0;41;0.0;1;15.0;0;1;1;7;2;1;33.23529411764706;36.333333333333336;37.166666666666664;36.588235294117645;36.666666666666664;1;3;2;2;2;2;1;3;2.0;35.75
