NOTA_EE_DOS;NCC_CINCO;NOTA_ADMICRO;PROMEDIO_TRES;NOTA_FCD;NAP_CINCO;NOTA_VARCOM;NOTA_TFM;PROMEDIO_CINCO;VECES_ADMICRO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;NAC_CINCO;NCA_CINCO;NOTA_EL_DOS;PROMEDIO_CUATRO;NOTA_ONDAS;EPA_CINCO;NOTA_CAMPOS;BIOLOGIA_ICFES;VECES_FOU;VECES_ONDAS;NOTA_EL_TRES;CAR_CINCO;NCP_CINCO;NAA_CINCO;NOTA_FOU;VECES_EL_TRES;VECES_TFM;NOTA_PROGAPL;NOTA_FIS_DOS;VECES_EE_DOS;VECES_FCD;CREDITOS_FOU;CREDITOS_EL_TRES;CREDITOS_EE_DOS;CREDITOS_ADMICRO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
40.0;15.0;40.0;32.970588235294116;45.0;0;25.0;48.0;38.0;1;470.68;62.82;61.41;6;15.0;28.33333333;33.33333333266667;30.0;2;27.5;53.95;1;1;32.0;0;0.0;6;35.0;1;1;35.0;40.0;1;1;2;3;2;3;2.0;37.857142857142854
50.0;7.0;40.0;31.805555555555557;30.0;1;35.0;0.0;37.857142857142854;1;446.87;62.82;58.93;3;5.0;0.0;29.791666666666668;0.0;2;20.0;55.99;2;0;0.0;1;2.0;2;22.5;0;0;32.5;35.0;1;2;2;3;2;3;2.0;40.0
50.0;15.0;35.0;36.470588235294116;35.0;1;35.0;39.0;35.0;1;430.29;72.55;46.84;6;12.0;30.0;33.666666666666664;41.0;2;30.0;55.99;1;1;17.0;1;3.0;5;35.0;2;1;40.0;30.0;1;1;2;3;2;3;2.0;33.857142856428574
35.0;4.0;0.0;21.416666667111112;45.0;1;21.66666667;0.0;21.8333333335;0;482.39;67.54;56.51;2;2.0;0.0;30.583333333999995;0.0;1;0.0;60.25;3;0;0.0;1;2.0;1;8.666666667;0;0;22.5;35.0;1;1;2;3;2;3;0.0;0.0
40.0;2.0;0.0;18.731092437058827;8.0;0;1.0;0.0;40.0;0;471.05;62.82;69.69;1;2.0;0.0;18.6;0.0;2;0.0;60.25;0;0;0.0;0;0.0;1;0.0;0;0;30.0;50.0;1;2;2;3;2;3;1.0;19.166666666666668
47.0;15.0;45.0;38.23529411764706;45.0;0;40.0;49.0;44.4;1;410.43;60.49;58.93;6;15.0;35.0;39.666666666666664;45.0;2;30.0;53.95;1;1;40.0;0;0.0;6;40.0;1;1;45.0;35.0;1;1;2;3;2;3;2.0;39.357142857142854
49.0;15.0;36.0;35.55555555555556;50.0;0;23.33333333;36.0;36.8;1;482.43;62.82;72.97;6;15.0;31.0;33.97777777733334;37.0;2;25.0;58.09;2;1;34.0;1;0.0;6;31.0;1;1;40.0;35.0;1;1;2;3;2;3;1.0;24.250000000714287
38.0;15.0;40.0;33.05555555555556;40.0;0;32.5;50.0;40.0;1;463.16;78.22;58.93;6;15.0;30.0;35.0;32.0;2;30.0;55.99;1;1;40.0;0;0.0;6;35.0;1;1;45.0;35.0;1;1;2;3;2;3;2.0;36.25
50.0;15.0;30.0;36.1764705882353;40.0;0;45.0;42.0;39.333333333333336;1;492.98;72.55;72.97;6;15.0;30.0;35.333333333333336;32.0;2;35.0;53.95;1;1;40.0;0;0.0;6;45.0;1;1;30.0;35.0;1;1;2;3;2;3;1.0;28.428571428571427
0.0;5.0;30.0;27.63888888888889;45.0;1;20.0;0.0;18.0;1;483.31;67.77;58.68;2;3.0;0.0;36.5;0.0;1;0.0;59.24;0;0;0.0;0;2.0;1;0.0;0;0;40.0;30.0;1;1;2;3;2;3;1.0;11.666666666666666
0.0;5.0;15.0;32.22222222222222;45.0;2;15.0;0.0;9.0;1;480.69;69.99;66.74;2;0.0;0.0;32.083333333333336;0.0;1;15.0;65.0;0;0;0.0;0;5.0;0;0.0;0;0;40.0;35.0;1;1;2;3;2;3;1.0;13.333333333333334
50.0;15.0;35.0;39.72222222222222;40.0;0;30.0;50.0;42.13333333333333;1;461.56;69.99;61.41;6;15.0;35.0;34.11111111066666;36.0;2;18.33333333;58.09;1;1;45.0;0;0.0;6;35.0;1;1;40.0;45.0;1;1;2;3;2;3;2.0;32.285714285714285
40.0;15.0;27.5;31.029411764705884;50.0;2;35.0;41.0;32.666666666666664;2;488.45;78.22;64.0;6;9.0;40.0;38.333333333333336;31.0;2;27.5;67.71;1;1;27.5;2;6.0;4;30.0;2;1;40.0;40.0;1;1;2;3;2;3;2.0;31.5
0.0;12.0;35.0;33.73529411764706;40.0;4;23.33333333;0.0;24.138888887500002;1;464.66;62.82;64.0;5;3.0;20.5;29.31111111066667;26.5;1;23.25;60.25;3;2;26.33333333;3;9.0;1;26.33333333;3;0;35.0;22.5;1;1;2;3;2;3;1.0;23.60606060454546
45.0;15.0;45.0;32.44444444444444;50.0;0;30.0;44.0;39.8;1;467.75;78.22;66.74;6;15.0;30.0;38.0;30.0;2;30.0;53.95;2;1;40.0;1;0.0;6;30.0;1;1;50.0;40.0;1;1;2;3;2;3;2.0;33.5
41.0;12.0;40.0;32.8235294117647;45.0;3;30.0;0.0;32.819444444999995;1;493.74;75.27;61.41;5;5.0;24.66666667;32.84615384692308;23.0;1;32.5;70.81;3;2;29.5;3;7.0;2;28.66666667;2;0;31.0;30.0;1;1;2;3;2;3;2.0;31.321428572142857
0.0;2.0;0.0;31.833333333333332;25.0;1;15.0;0.0;0.0;0;482.48;72.55;58.93;1;0.0;0.0;26.666666666666668;0.0;1;15.0;62.54;0;0;0.0;0;2.0;0;0.0;0;0;45.0;35.0;1;2;2;3;2;3;1.0;11.666666666666666
50.0;15.0;30.0;32.638888888888886;45.0;0;30.0;48.0;38.266666666666666;1;475.58;85.28;66.74;6;15.0;30.0;35.333333333333336;30.0;2;30.0;51.92;1;1;40.0;0;0.0;6;30.0;1;1;35.0;35.0;1;1;2;3;2;3;1.0;26.428571428571427
45.0;15.0;35.0;37.0;40.0;0;40.0;46.0;38.2;1;448.7;85.28;56.51;6;15.0;30.0;37.0;35.0;2;35.0;58.09;1;1;30.0;0;0.0;6;40.0;1;1;45.0;35.0;1;1;2;3;2;3;2.0;31.785714285714285
