GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
0;1;1;1;19;5;399.89;60.6;60.6;57.16;53.65;62.45;62.45;53.24;0.0;51.03;60.44;11;5;9;2;2011;1;25.97435897435897
0;2;9;1;19;5;404.59;78.55;78.55;54.74;59.17;52.31;52.31;57.23;0.0;48.75;41.66;9;4;4;3;2011;1;29.61538461538462
1;1;10;1;19;5;401.6;47.62;47.62;56.97;61.55;64.72;64.72;55.79;0.0;48.75;75.52;10;3;6;3;2011;2;39.26666666666667
1;1;8;1;19;5;395.87;55.69;55.69;54.74;59.17;58.33;58.33;51.3;0.0;59.25;66.95;8;3;6;2;2011;2;36.73333333333333
0;1;15;1;19;5;473.0;101.0;101.0;60.0;59.0;62.0;62.0;63.0;0.0;60.0;50.0;14;2;9;3;2012;2;38.2
1;1;8;1;19;5;491.0;86.0;86.0;59.0;74.0;68.0;68.0;68.0;0.0;60.0;49.0;8;3;9;2;2012;1;18.76923076923077
1;2;14;1;19;5;469.0;85.0;85.0;70.0;50.0;69.0;69.0;63.0;0.0;69.0;53.0;20;6;9;3;2012;2;39.4
0;1;2;1;19;5;474.0;86.0;86.0;59.0;62.0;78.0;78.0;58.0;0.0;59.0;83.0;14;2;9;3;2012;1;15.07692307692308
0;1;11;1;19;5;461.0;76.0;76.0;68.0;62.0;77.0;77.0;68.0;0.0;49.0;52.0;11;5;9;3;2012;2;30.33333333333333
0;2;9;1;19;5;455.0;86.0;86.0;63.0;58.0;68.0;68.0;68.0;0.0;44.0;63.0;9;4;9;4;2012;2;37.76923076923077
1;2;11;1;19;5;435.0;102.0;102.0;59.0;58.0;62.0;62.0;63.0;0.0;44.0;55.0;9;4;9;4;2012;2;33.8
0;2;8;1;19;5;444.0;86.0;86.0;69.0;52.0;58.0;58.0;58.0;0.0;59.0;53.0;7;5;9;1;2012;0;0.0
0;2;13;1;19;5;453.0;69.0;69.0;68.0;67.0;78.0;78.0;59.0;0.0;49.0;60.0;9;4;9;3;2012;2;33.33333333333334
0;2;10;1;19;5;457.0;86.0;86.0;59.0;67.0;68.0;68.0;68.0;0.0;53.0;56.0;10;3;9;2;2012;1;24.92307692307692
1;1;12;1;19;5;447.0;86.0;86.0;63.0;50.0;63.0;63.0;63.0;0.0;53.0;56.0;12;3;9;3;2012;1;27.61538461538462
1;2;1;1;19;5;454.0;75.0;75.0;60.0;67.0;78.0;78.0;51.0;0.0;54.0;60.0;1;5;9;4;2012;2;37.0
0;2;1;1;19;5;452.0;85.0;85.0;60.0;63.0;63.0;63.0;68.0;0.0;53.0;74.0;1;5;9;3;2012;2;38.3
1;2;14;1;19;5;456.0;60.0;60.0;69.0;58.0;91.0;91.0;68.0;0.0;53.0;53.0;16;2;9;3;2012;2;33.84615384615385
0;2;8;1;19;5;450.0;68.0;68.0;65.0;53.0;77.0;77.0;51.0;0.0;54.0;58.0;16;2;9;3;2012;2;33.53333333333333
0;2;9;1;19;5;442.0;64.0;64.0;75.0;67.0;63.0;63.0;55.0;0.0;49.0;55.0;9;4;9;3;2012;2;30.04444444444444
1;2;4;1;19;5;462.0;64.0;64.0;69.0;55.0;62.0;62.0;68.0;0.0;53.0;43.0;4;4;9;2;2012;2;32.21111111111112
0;1;8;1;19;5;467.0;63.0;63.0;60.0;53.0;91.0;91.0;68.0;0.0;60.0;74.0;8;3;9;2;2012;1;29.57692307692308
0;2;12;1;19;5;458.0;85.0;85.0;52.0;59.0;68.0;68.0;63.0;0.0;60.0;50.0;12;3;9;3;2012;2;31.93333333333333
0;2;6;1;19;5;450.0;76.0;76.0;59.0;62.0;69.0;69.0;63.0;0.0;49.0;53.0;4;4;9;2;2012;2;34.4
0;1;1;1;19;5;462.0;75.0;75.0;60.0;63.0;62.0;62.0;77.0;0.0;54.0;60.0;11;5;9;2;2012;1;29.57692307692308
0;2;11;1;19;5;431.0;76.0;76.0;69.0;74.0;50.0;50.0;63.0;0.0;36.0;63.0;11;5;9;3;2012;3;41.6
1;1;5;1;19;5;446.0;76.0;76.0;63.0;58.0;63.0;63.0;76.0;0.0;44.0;53.0;5;6;9;2;2012;2;34.76666666666667
1;2;10;1;19;5;449.0;76.0;76.0;59.0;59.0;69.0;69.0;76.0;0.0;44.0;55.0;10;3;9;3;2012;2;34.56666666666667
1;2;10;1;19;5;428.0;85.0;85.0;60.0;56.0;62.0;62.0;63.0;0.0;41.0;60.0;8;3;9;3;2012;2;37.66666666666666
0;2;15;1;19;5;447.0;85.0;85.0;52.0;56.0;69.0;69.0;59.0;0.0;60.0;60.0;18;3;9;3;2012;2;35.83333333333334
0;2;13;1;19;5;442.0;76.0;76.0;63.0;62.0;63.0;63.0;68.0;0.0;53.0;55.0;1;5;9;4;2012;2;36.96666666666667
0;2;16;1;19;5;423.0;85.0;85.0;60.0;75.0;54.0;54.0;48.0;0.0;41.0;60.0;8;3;9;2;2012;1;26.13333333333333
