NOTA_EI_OP_AII;NOTA_GES_CAL_VAL_SOFT;NOTA_EI_OP_CI;NOTA_SIS_OP;VECES_EI_OP_AII;VECES_SIS_OP;NOTA_ING_ECONOMICA;VECES_EI_OP_CI;NAC_OCHO;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AI;NOTA_REDES_COM_TRES;NCC_OCHO;NOTA_EI_OP_BII;VECES_EI_OP_BII;NOTA_EI_OP_AI;VECES_EI_OP_BI;CAR_OCHO;VECES_DIS_ARQ_SOFT;NOTA_CIBERNETICA_TRES;NAP_OCHO;NOTA_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;EPA_OCHO;NCP_OCHO;NCA_OCHO;NAA_OCHO;CREDITOS_EI_OP_AII;CREDITOS_EI_OP_CI;CREDITOS_EI_OP_BII;CREDITOS_SIS_OP;CREDITOS_GES_CAL_VAL_SOFT;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
0.0;26.5;46.0;33.0;0;2;30.0;1;5;2;1;35.0;13.0;0.0;0;30.0;0;0;1;40.0;0;41.0;1;2;0.0;13.0;5;3;3;3;3;3;36.8421052631579;32.49999999944444;33.48684210526316;37.166666666666664;2.0;35.166666666666664
0.0;46.0;45.0;40.0;0;1;48.0;1;6;1;1;45.0;16.0;43.0;1;40.0;1;0;1;47.0;0;38.0;1;2;0.0;16.0;6;3;3;3;3;3;41.68421052631579;31.13888888888889;34.1578947368421;40.666666666666664;3.0;43.5
0.0;37.0;42.0;43.0;0;1;31.0;1;5;1;1;46.0;13.0;49.0;1;38.0;0;0;1;35.0;0;48.0;1;2;0.0;13.0;5;3;3;3;3;3;43.94736842105263;35.944444445;36.60526315789474;41.77777777777778;3.0;42.75
34.0;38.0;42.0;37.0;1;1;34.0;1;5;1;1;36.0;13.0;47.0;1;41.0;0;1;1;43.0;0;48.0;2;2;0.0;13.0;5;3;3;3;3;3;41.10526315789474;36.166666666666664;36.71052631578947;38.833333333333336;2.0;39.6
45.0;34.0;41.0;36.0;1;1;34.0;1;5;1;1;45.0;13.0;0.0;0;41.0;0;0;1;45.0;0;49.0;1;2;0.0;13.0;5;3;3;3;3;3;37.9375;35.55555555555556;38.421052631578945;36.94444444444444;2.0;39.0
0.0;43.0;43.0;41.0;0;1;32.0;1;6;1;1;45.0;16.0;39.0;1;43.0;1;0;1;45.0;0;50.0;1;2;0.0;16.0;6;3;3;3;3;3;42.421052631578945;33.833333333333336;39.5;44.111111111111114;3.0;41.5
0.0;35.0;30.0;37.0;0;1;32.5;1;5;1;1;31.0;13.0;0.0;0;40.0;0;1;1;38.0;0;43.0;2;2;0.0;13.0;5;3;3;3;3;3;37.0;35.94444444444444;35.05263157894737;39.22222222222222;2.0;34.0
0.0;41.0;41.0;48.0;0;1;39.0;1;6;1;1;38.0;16.0;45.0;2;44.0;1;0;1;44.0;0;45.0;1;2;0.0;16.0;6;3;3;3;3;3;40.05263157894737;37.77777777777778;32.89473684210526;41.77777777777778;3.0;43.75
41.0;0.0;0.0;0.0;1;0;41.0;0;2;0;3;0.0;5.0;0.0;0;12.33333333;0;1;0;0.0;1;0.0;1;1;3.0;2.0;1;3;3;3;3;3;43.25;32.27777777833333;35.15384615384615;30.7;3.0;41.0
46.0;39.0;41.0;32.0;1;2;30.0;1;5;1;1;48.0;13.0;0.0;0;30.0;0;0;1;44.0;0;40.0;1;2;0.0;13.0;5;3;3;3;3;3;39.73684210526316;33.611111110555555;37.10526315789474;37.166666666666664;2.0;39.5
0.0;48.0;45.0;45.0;0;1;39.0;1;6;1;1;49.0;16.0;43.0;1;45.0;1;0;1;44.0;0;50.0;1;2;0.0;16.0;6;3;3;3;3;3;43.68421052631579;38.52777777777778;38.94736842105263;41.833333333333336;4.0;45.25
0.0;41.0;44.0;46.0;0;1;41.0;1;6;1;1;41.0;16.0;44.0;1;43.0;1;0;1;49.0;0;47.0;1;2;0.0;16.0;6;3;3;3;3;3;43.89473684210526;45.27777777777778;41.10526315789474;43.333333333333336;3.0;43.75
0.0;42.0;44.0;36.0;0;1;32.0;1;6;1;1;47.0;16.0;46.0;2;43.0;1;0;1;50.0;0;46.0;1;2;0.0;16.0;6;3;3;3;3;3;42.26315789473684;39.166666666666664;39.63157894736842;44.72222222222222;3.0;42.0
46.0;38.0;42.0;41.0;1;1;35.0;1;6;1;1;41.0;16.0;46.5;2;43.0;1;0;1;42.0;0;47.0;1;2;0.0;16.0;6;3;3;3;3;3;39.421052631578945;35.77777777777778;36.13157894736842;38.833333333333336;3.0;42.7
0.0;44.0;35.0;39.0;0;1;37.0;1;6;1;1;40.0;16.0;39.0;1;41.0;1;0;1;44.0;0;50.0;1;2;0.0;16.0;6;3;3;3;3;3;37.23684210526316;31.187500000625;32.05263157894737;40.388888888888886;2.0;39.25
0.0;39.0;42.0;46.0;0;1;37.0;1;6;1;1;41.0;16.0;29.5;2;43.0;1;0;1;49.0;0;46.0;1;2;0.0;16.0;6;3;3;3;3;3;41.63157894736842;34.75;36.05263157894737;37.666666666666664;2.0;39.125
40.0;37.0;43.0;38.0;1;1;20.5;1;6;1;1;48.0;16.0;43.5;2;35.0;1;1;1;44.0;1;32.0;2;2;2.0;14.0;5;3;3;3;3;3;37.94736842105263;31.52777777777778;35.05263157842105;37.55555555555556;3.0;40.3
0.0;43.0;42.0;41.0;0;1;33.0;1;6;1;1;40.0;16.0;38.0;1;43.0;1;0;1;42.0;0;47.0;1;2;0.0;16.0;6;3;3;3;3;3;40.31578947368421;35.166666666666664;35.526315789473685;37.888888888888886;3.0;41.0
0.0;46.0;44.0;50.0;0;1;36.0;1;6;1;1;43.0;16.0;41.0;1;43.0;1;0;1;48.0;0;48.0;1;2;0.0;16.0;6;3;3;3;3;3;44.10526315789474;34.47222222222222;39.26315789473684;45.833333333333336;4.0;45.25
0.0;34.0;45.0;33.0;0;1;39.0;1;5;2;0;45.0;13.0;0.0;0;0.0;1;0;1;45.0;0;48.0;1;2;0.0;13.0;5;3;3;3;3;3;37.05263157894737;32.666666666666664;35.86842105263158;35.52777777777778;2.0;37.333333333333336
49.0;37.0;45.0;47.0;1;1;47.0;1;5;1;1;50.0;13.0;0.0;0;46.0;0;0;1;49.0;0;48.0;1;2;0.0;13.0;5;3;3;3;3;3;44.21052631578947;36.833333333333336;38.473684210526315;40.166666666666664;3.0;44.5
0.0;47.0;45.0;50.0;0;1;44.0;1;6;1;1;48.0;16.0;45.0;1;44.0;1;0;1;49.0;0;50.0;1;2;0.0;16.0;6;3;3;3;3;3;47.473684210526315;41.611111111111114;43.421052631578945;44.72222222222222;4.0;46.75
47.0;35.0;41.0;0.0;1;0;46.0;1;4;1;1;0.0;11.0;46.0;1;42.0;0;0;1;40.0;0;40.0;1;2;0.0;11.0;4;3;3;3;3;3;41.3125;29.384615384615383;33.6764705882353;34.9375;3.0;42.25
