NOTA_FOTO;NOTA_POO;NOTA_L_DOS;NOTA_FOTOD;NOTA_AVAM;NOTA_AVAP;NOTA_EI_CUATRO;NOTA_L_TRES;NOTA_EI_UNO;NOTA_ECONOMET;NOTA_FGEP;NOTA_ECUA;NOTA_GEOGEO;NOTA_EI_TRES;NCC_OCHO;VECES_FGEP;NAC_OCHO;VECES_FOTOD;NAA_OCHO;CAR_CINCO;CAR_OCHO;VECES_EI_CUATRO;VECES_L_TRES;NCP_OCHO;NCA_OCHO;EPA_OCHO;VECES_AVAM;VECES_EI_TRES;NAP_OCHO;CREDITOS_L_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;CREDITOS_FOTOD;CREDITOS_FGEP;CREDITOS_EI_CUATRO;CREDITOS_AVAM;CREDITOS_EI_TRES;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
34;40;42;32;39;36;37;35;47;31;31;35;38;42;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;34.0;39.4;39.6875;36.5;2;2;3;2;3;2.0;38.3
30;40;37;35;40;32;37;38;39;37;43;31;40;30;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;33.94444444444444;35.2;36.875;36.642857142857146;2;2;3;2;3;3.0;41.2
35;40;32;35;41;36;34;41;46;37;33;35;34;36;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;34.5;33.53333333333333;38.625;36.42857142857143;2;2;3;2;3;2.0;38.7
30;38;32;33;34;38;36;37;41;37;36;39;33;37;14.0;1;6;1;6;3;0;1;1;0.0;14.0;2;1;1;0;2;37.166666666666664;37.53333333333333;37.375;35.642857142857146;2;2;3;2;3;3.0;43.5
36;38;44;39;46;47;41;37;44;41;48;35;36;44;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;38.05555555555556;41.13333333333333;40.8125;42.5;2;2;3;2;3;3.0;44.5
45;35;39;32;41;38;38;41;43;32;45;30;36;33;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;35.166666666666664;41.666666666666664;40.4375;37.92857142857143;2;2;3;2;3;2.0;35.4
44;0;0;0;0;0;0;0;0;0;0;32;0;0;0.0;0;0;0;0;1;0;0;0;0.0;0.0;1;0;0;0;2;36.0;0.0;0.0;0.0;2;2;3;2;3;0.0;0.0
45;42;46;33;38;38;35;45;43;39;38;33;42;41;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;38.5;40.93333333333333;38.4375;38.285714285714285;2;2;3;2;3;3.0;43.2
39;44;43;37;40;38;34;44;37;35;45;36;40;37;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;36.333333333333336;39.2;38.25;38.92857142857143;2;2;3;2;3;3.0;41.15384615384615
30;40;48;36;35;41;39;41;42;40;37;31;32;41;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;37.666666666666664;38.2;42.25;38.42857142857143;2;2;3;2;3;3.0;40.3
30;40;35;30;38;31;39;39;36;30;30;46;36;33;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;35.833333333333336;39.86666666666667;36.6875;35.0;2;2;3;2;3;2.0;39.1
34;37;44;36;38;36;40;43;37;39;43;39;39;33;14.0;1;6;1;6;3;0;1;1;0.0;14.0;2;1;1;0;2;37.111111111111114;39.733333333333334;39.625;38.5;2;2;3;2;3;3.0;40.30769230769231
45;43;44;33;41;40;37;43;32;33;43;35;31;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;38.166666666666664;39.733333333333334;37.9375;38.714285714285715;2;2;3;2;3;3.0;40.38461538461539
30;38;45;39;38;44;43;43;35;37;42;32;36;34;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;41.55555555555556;41.266666666666666;39.5;39.642857142857146;2;2;3;2;3;3.0;42.6
39;50;31;31;36;38;37;34;38;40;46;36;32;35;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;38.05555555555556;37.2;38.25;36.42857142857143;2;2;3;2;3;2.0;35.0
36;41;44;37;47;40;40;42;42;44;40;32;42;44;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;37.05555555555556;40.2;41.375;41.714285714285715;2;2;3;2;3;3.0;43.2
40;50;41;36;38;37;41;42;39;40;46;37;30;39;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;41.111111111111114;41.53333333333333;39.9375;40.285714285714285;2;2;3;2;3;3.0;43.7
30;44;39;43;40;37;37;45;43;41;31;33;33;35;14.0;2;6;1;6;3;1;1;1;0.0;14.0;2;1;1;0;2;33.77777777777778;36.733333333333334;39.1875;38.142857142857146;2;2;3;2;3;2.0;38.92307692307692
33;30;43;30;44;31;34;42;41;35;35;33;36;34;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;40.111111111111114;38.2;37.375;36.142857142857146;2;2;3;2;3;2.0;37.18181818181818
38;43;33;34;46;42;34;32;32;42;32;37;34;37;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;37.72222222222222;37.266666666666666;39.5625;35.785714285714285;2;2;3;2;3;3.0;40.1
32;43;43;38;38;36;39;44;41;35;37;38;34;34;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;34.111111111111114;38.2;36.3125;38.07142857142857;2;2;3;2;3;3.0;43.92307692307692
40;43;34;38;34;39;37;43;38;34;39;30;33;31;14.0;1;6;1;6;3;0;1;1;0.0;14.0;2;1;1;0;2;34.94444444444444;36.93333333333333;36.125;36.57142857142857;2;2;3;2;3;3.0;43.6
30;36;42;37;43;42;37;31;38;32;34;36;36;32;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;34.72222222222222;35.666666666666664;39.125;35.5;2;2;3;2;3;2.0;40.0
40;36;0;0;0;34;0;0;33;7;0;38;35;0;0.0;0;0;0;0;2;0;0;0;0.0;0.0;1;0;0;0;2;39.27777777777778;29.1;30.727272727272727;0.0;2;2;3;2;3;3.0;41.0
40;45;36;32;47;46;35;33;42;32;30;40;42;38;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;34.72222222222222;38.0;39.0625;35.92857142857143;2;2;3;2;3;3.0;43.4
45;50;37;36;39;38;39;43;43;42;49;40;30;39;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;37.77777777777778;41.06666666666667;37.0625;40.57142857142857;2;2;3;2;3;2.0;39.0
34;50;39;30;38;31;40;34;48;35;38;36;30;36;14.0;3;6;1;6;3;1;1;1;0.0;14.0;2;1;1;0;2;38.05555555555556;35.8;37.875;36.285714285714285;2;2;3;2;3;2.0;36.69230769230769
45;42;44;36;41;37;39;43;44;43;44;44;33;36;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;39.44444444444444;40.8;41.75;39.5;2;2;3;2;3;3.0;44.0
43;35;40;38;38;39;38;37;35;40;49;39;33;40;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;39.55555555555556;37.4;39.25;39.857142857142854;2;2;3;2;3;3.0;43.2
33;43;44;39;37;32;34;39;43;40;37;30;35;30;14.0;1;6;2;6;2;1;1;1;0.0;14.0;2;1;1;0;2;34.333333333333336;34.06666666666667;39.125;35.42857142857143;2;2;3;2;3;2.0;37.7
40;45;44;39;41;38;39;40;43;39;44;30;30;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;38.611111111111114;38.86666666666667;39.3125;39.714285714285715;2;2;3;2;3;2.0;37.5
31;33;35;34;36;36;37;44;45;36;33;30;31;32;14.0;1;6;1;6;3;0;1;1;0.0;14.0;2;1;1;0;2;34.05555555555556;35.46666666666667;37.0;35.785714285714285;2;2;3;2;3;3.0;40.7
30;40;41;34;42;38;40;40;47;39;33;38;35;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;35.166666666666664;38.6;40.1875;37.785714285714285;2;2;3;2;3;2.0;39.23076923076923
35;45;33;36;43;43;33;38;33;30;38;35;34;30;14.0;1;6;1;6;1;1;1;2;0.0;14.0;2;1;1;0;2;34.5;38.4;36.375;35.642857142857146;2;2;3;2;3;2.0;39.46153846153846
41;31;40;34;41;38;37;38;44;39;39;36;37;41;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;38.94444444444444;39.93333333333333;40.4375;38.42857142857143;2;2;3;2;3;2.0;36.4
