NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
513;27.23076923076923;4;25.0;35.0;7.0;0.0;29.36666666666667;15;9;4;35.0;21.0;30.0;27.5;0.0;1;13;2;11;5;1;4;1;0.0;1;3;0.0;0;3;13.0;1;3;12.0;1;2;35.0;1;2;26.66666666666667;3;3;0.0;0;2;2;35.0
517;27.27272727272727;3;20.0;35.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;2;0.0;0;3;0.0;0;2;0;0.0
519;25.8974358974359;3;21.66666666666667;25.0;30.0;0.0;28.46666666666667;15;11;4;15.5;30.0;30.0;39.0;0.0;2;13;7;6;5;3;2;1;22.0;3;3;15.0;2;3;37.0;1;3;30.0;1;2;35.0;1;2;0.0;0;3;0.0;0;2;2;33.5
520;29.31818181818182;4;30.0;30.0;0.0;0.0;9.681818181818182;11;0;0;10.0;9.5;7.5;0.0;0.0;0;4;4;0;2;2;0;2;0.0;0;3;0.0;0;3;0.0;0;3;30.0;1;2;35.0;1;2;0.0;0;3;0.0;0;2;0;0.0
521;26.12;3;18.0;27.5;15.5;44.0;24.36363636363636;11;3;1;0.0;27.0;14.0;36.0;0.0;2;7;2;5;3;1;2;1;0.0;0;3;0.0;0;3;0.0;0;3;16.0;2;2;35.0;1;2;11.5;2;3;0.0;0;2;2;40.0
522;41.2;7;35.0;40.0;50.0;44.0;39.35294117647059;17;17;7;40.0;30.0;35.0;45.0;47.0;0;18;18;0;7;7;0;2;35.0;1;3;40.0;1;3;37.0;1;3;40.0;1;2;45.0;1;2;40.0;1;3;44.0;1;2;2;39.88888888888889
524;35.66666666666666;7;32.5;30.0;40.0;45.0;32.11764705882353;17;14;6;25.0;30.0;30.0;35.0;43.0;1;18;15;3;7;6;1;2;37.0;1;3;32.0;1;3;28.5;2;3;35.0;1;2;40.0;1;2;35.0;1;3;44.0;1;2;2;30.91666666666667
527;18.33333333333334;1;20.0;18.0;9.0;0.0;19.625;12;3;2;3.5;19.0;37.0;18.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;2;0.0;0;3;0.0;0;2;0;0.0
528;30.66666666666667;5;22.5;30.0;30.0;50.0;37.1764705882353;17;17;7;35.0;30.0;35.0;47.0;43.0;0;18;18;0;7;7;0;2;39.0;1;3;31.0;1;3;38.0;1;3;33.0;1;2;35.0;1;2;38.0;1;3;45.0;1;2;2;36.27777777777778
532;35.26666666666667;7;30.0;40.0;37.0;40.0;35.88235294117647;17;14;6;35.0;25.0;30.0;45.0;45.0;1;18;18;0;7;7;0;2;40.0;1;3;30.0;1;3;30.0;1;3;30.0;1;2;40.0;1;2;33.5;2;3;35.0;1;2;2;35.75
536;35.66666666666666;7;30.0;40.0;38.0;42.0;34.88235294117647;17;14;6;30.0;25.0;30.0;45.0;44.0;2;18;12;6;7;5;2;2;27.0;3;3;32.0;1;3;28.5;2;3;30.0;1;2;35.0;1;2;30.0;1;3;40.0;1;2;2;33.66666666666666
537;35.8;7;30.0;40.0;31.0;40.0;34.52941176470588;17;17;7;30.0;30.0;30.0;40.0;41.0;1;18;16;2;7;6;1;2;34.0;1;3;32.0;1;3;33.0;1;3;29.5;2;2;35.0;1;2;30.0;1;3;41.0;1;2;2;38.1875
538;29.84848484848485;4;18.33333333333333;40.0;0.0;0.0;26.75;10;4;2;15.0;0.0;0.0;45.0;0.0;1;4;2;2;2;1;1;1;0.0;0;3;0.0;0;3;0.0;0;3;15.0;2;2;35.0;1;2;0.0;0;3;0.0;0;2;0;0.0
541;30.86666666666667;6;30.0;40.0;45.0;4.0;29.21333333333333;15;9;4;24.0;15.4;35.0;40.0;0.0;0;7;7;0;3;3;0;2;0.0;0;3;0.0;0;3;0.0;0;3;35.0;1;2;35.0;1;2;40.0;1;3;0.0;0;2;1;21.2
542;36.51111111111111;6;26.66666666666667;40.0;40.0;43.0;37.1764705882353;17;17;7;35.0;35.0;35.0;45.0;44.0;2;18;13;5;7;5;2;2;32.0;1;3;30.0;1;3;27.5;2;3;25.0;2;2;35.0;1;2;40.0;1;3;44.0;1;2;2;35.6875
544;33.73333333333333;6;27.5;45.0;33.0;40.0;34.88235294117647;17;14;6;30.0;30.0;30.0;45.0;46.0;1;18;13;5;7;5;2;1;26.5;2;3;37.0;1;3;30.0;1;3;30.0;1;2;35.0;1;2;30.0;1;3;17.0;1;2;2;31.19444444444444
545;37.13333333333333;7;30.0;40.0;40.0;36.0;33.55882352941177;17;14;6;30.0;27.5;35.0;40.0;39.0;0;18;18;0;7;7;0;2;40.0;1;3;37.0;1;3;33.0;1;3;35.0;1;2;35.0;1;2;40.0;1;3;45.0;1;2;2;34.75
546;24.97777777777777;4;14.16666666666667;30.0;28.0;23.5;19.77083333333333;12;4;2;17.75;0.0;4.0;35.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;30.0;1;2;0.0;0;3;0.0;0;2;0;0.0
